TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,5456,1344476
417,3215300,127519544
521,11388380,147358404
624,11388380,147358404
727,20008616,149016856
830,20008616,149016856
933,31052388,161452380
1037,31052388,161452380
1140,39794448,171212468
1243,39794448,171212468
1346,51470964,183650108
1449,54666084,186957488
1552,63423144,197473508
1655,63423144,197473508
1759,73430528,208801764
1862,79704076,215982976
1965,84290400,221680996
2068,93043432,232040632
2171,93043432,232040632
2275,106642096,239903252
2378,124357080,260000224
2481,148792992,288598936
2584,173324840,316640584
2687,201131844,343984812
2790,201246748,343984812
2894,205649824,348560552
2997,216686168,361968380
3100,224844976,366480048
3204,236565152,368803768
3307,236565152,368803768
3410,248428448,369006232
3513,256580128,369145352
3616,271524152,369400428
3719,271526320,369400428
3823,279985856,369550576
3926,288280624,369687992
4029,296432304,369830072
4132,306491824,369997164
4235,306491824,369997164
4338,320731248,370240180
