RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.44,0.13,0:03.57,0,100590,0,0
90,3.52,0.21,0:03.76,821,112708,44229,42952
80,3.50,0.29,0:03.83,3550,119033,59422,54707
70,3.51,0.32,0:03.86,4763,119437,74618,66498
60,3.49,0.41,0:03.93,7643,123844,79471,76860
50,3.53,0.61,0:04.16,24510,145100,100394,99185
40,3.84,1.59,0:05.48,19987,567638,541678,574530
30,3.96,1.82,0:05.91,5938,731946,706966,760279
20,3.85,1.79,0:05.77,38,739986,709364,776557
10,3.92,1.83,0:05.85,2319,735663,713537,779042
5,3.98,3.17,0:07.24,92203,801780,822517,1226900
