TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,0,0
2273,0,0
2376,0,0
2479,37793052,53463880
2583,97961656,123972472
2686,159698408,193675396
2790,222270776,262294100
2893,284314896,331797016
2996,346730472,400066876
3100,408717156,467915316
3203,471378272,536853680
3307,533192940,604117536
3410,595205764,672411884
3514,657234184,740222248
3617,719402172,808274632
3720,781443888,875922436
3824,843307896,944133568
3927,905526240,1011979308
4031,968301012,1079966064
4134,1030640240,1147262144
4237,1043748872,1161282820
