RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,100515,91154.25,30408.79,,,,,,,14622.42,,,,100515,22774.84,25399.18,9325.794,,63.819
100,1,1406,1853.391,1.262,,,,,,,,,,,1406,54.103,0.000,,,
100,2,645,875.285,3.047,,,,,,,,,,,645,21.601,0.000,,,
100,3,1067,1310.158,0.968,,,,,,,,,,,1067,37.530,0.000,,,
100,4,924,1257.188,2.084,,,,,,,,,,,924,32.433,0.000,,,
90,0,103122,221830.4,1153387,920,10030.81,149.753,1,17697.77,0.000,130971.1,2510,80.604,0.001,103122,139735.4,1143999,125201.7,15312.62,144.738
90,1,1532,2198.806,3.581,8,61.431,3.671,,,,,8,0.320,0.000,1532,69.164,0.150,,4.928,
90,2,916,1565.644,8.363,30,260.425,34.976,,,,,30,5.995,0.792,916,50.474,0.257,,11.489,
90,3,1061,1344.352,1.641,,,,,,,,,,,1061,37.386,0.000,,,
90,4,497,648.389,2.898,,,,,,,,,,,497,17.386,0.000,,,
80,0,110152,276235.2,83352401,3878,38446.01,858.722,2,32751.44,12299991,151243.1,5489,208.230,37.457,110152,160539.9,82001953,145127.9,19337.25,142.654
80,1,1404,1858.616,1.397,,,,,,,,,,,1404,52.685,0.000,,,
80,2,1801,2422.822,2.212,,,,,,,,,,,1801,66.153,0.000,,,
80,3,1999,2545.734,2.435,,,,,,,,,,,1999,86.540,0.148,,,
80,4,1009,1339.235,1.645,,,,,,,,,,,1009,36.648,0.000,,,
70,0,111041,304038.1,1833236,4852,46024.74,1556.074,4,62910.55,1515376,166987.3,6178,448.574,63.956,111041,176601.2,1795306,160633.7,24368.43,118.822
70,1,1644,2411.772,2.004,,,,,,,,,,,1644,58.701,0.000,,,
70,2,2437,2985.759,4.705,,,,,,,,,,,2437,102.002,0.424,,,
70,3,2225,2938.531,12.410,16,119.990,4.256,,,,,16,0.779,0.000,2225,87.466,0.002,,9.096,
70,4,1562,2106.421,1.547,,,,,,,,,,,1562,57.619,0.000,,,
60,0,115958,319080.4,2138826,6452,51689.73,440.841,3,56850.06,17023158,173081.3,8352,618.954,281.830,115958,183199.5,2111525,166332.3,28221.59,115.987
60,1,1502,2319.114,32.312,,,,,,,,,,,1502,57.492,0.000,,,
60,2,1630,2090.702,2.462,,,,,,,,,,,1630,61.921,0.000,,,
60,3,1426,1987.861,2.243,31,220.387,4.980,,,,,31,1.025,0.000,1426,53.119,0.000,,9.692,
60,4,453,578.450,2.132,,,,,,,,,,,453,16.925,0.000,,,
50,0,179739,635907.1,2788367,34535,319230.5,25829.82,4,55110.11,20231456,180023.7,40127,2543.267,1090.705,179739,196099.1,2561044,169273.5,41376.86,109.684
50,1,1662,2191.772,2.801,,,,,,,,,,,1662,58.397,0.000,,,
50,2,1579,2221.476,3.259,8,63.917,3.755,,,,,8,0.331,0.000,1579,56.839,0.000,,5.814,
50,3,2429,3673.726,7.827,,,,,,,,,,,2429,114.738,0.001,,,
50,4,1286,2066.612,5.167,32,267.451,19.395,,,,,32,1.110,0.000,1286,48.231,0.000,,11.046,
40,0,566547,1581741,822881.7,16470,212179.1,131117.9,3,50230.54,12639858,1002317,49095,1997.062,2765.597,566547,1056319,4731911,966477.1,187547.3,1025.161
40,1,1328,1970.667,3.392,,,,,,,,,,,1328,57.377,0.000,,,
40,2,1571,2197.313,1.945,8,59.839,1.794,,,,,8,0.324,0.000,1571,62.984,0.000,,4.755,
40,3,997,1291.697,1.051,,,,,,,,,,,997,37.983,0.000,,,
40,4,4787,6128.858,141.990,,,,,,,,,,,4787,336.687,12.042,,,
30,0,680109,2084311,5712011,4629,139925.0,4817.819,4,58787.23,14970088,1496046,22913,837.922,13.258,680109,1563253,16531932,1451935,257994.5,514.492
30,1,1707,2245.287,1.364,,,,,,,,,,,1707,60.320,0.000,,,
30,2,2127,2928.697,47.249,,,,,,,,,,,2127,94.485,2.390,,,
30,3,2690,3832.721,4.768,,,,,,,,,,,2690,109.764,0.001,,,
30,4,1166,1524.581,1.160,,,,,,,,,,,1166,49.671,0.032,,,
20,0,664989,1985319,218772.7,33,1028.529,3530.482,4,64913.88,3517530,1556511,7310,260.371,1.141,664989,1621317,4357449,1513441,259704.7,521.912
20,1,5398,6522.234,62.167,,,,,,,,,,,5398,287.227,1.788,,,
20,2,2571,3897.993,7.079,16,118.298,3.645,,,,,16,0.544,0.000,2571,119.174,0.488,,8.516,
20,3,3698,5708.742,38.132,,,,,,,,,,,3698,165.522,0.004,,,
20,4,2786,3812.822,4.638,,,,,,,,,,,2786,113.700,0.192,,,
10,0,671869,1949138,2192051,1498,22613.44,563.014,7,62302.34,7268668,1488440,10781,367.871,2.002,671869,1555195,1237773,1444969,259626.7,583.836
10,1,1550,2091.556,2.296,,,,,,,,,,,1550,56.781,0.000,,,
10,2,5396,6324.141,57.074,,,,,,,,,,,5396,285.933,1.791,,,
10,3,3775,6222.573,24.177,,,,,,,,,,,3775,176.369,0.003,,,
10,4,2320,3179.543,10.153,,,,,,,,,,,2320,98.669,0.510,,,
5,0,838869,3305954,70275051,82643,775858.5,766275.2,25,60486.47,364782.2,1989451,99435,3848.979,10233.70,838869,2070191,296173255,1935942,399968.2,730.045
5,1,2198,3044.672,198.164,,,,,,,,,,,2198,77.240,0.001,,,
5,2,3494,4584.209,6.539,,,,,,,,,,,3494,139.574,0.263,,,
5,3,3482,5181.730,5.937,,,,,,,,,,,3482,161.206,0.043,,,
5,4,1716,2124.692,1.669,,,,,,,,,,,1716,62.411,0.000,,,
