TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,1542624,107009012
623,32278460,229025440
726,76445328,342353124
830,111510820,463760636
933,152335416,583559408
1036,215738644,700425332
1140,278216652,825041624
1243,340858804,948935728
1347,403795800,1072640360
1450,466576672,1196071572
1553,528608412,1319586008
1656,588588056,1435943860
1760,682738548,1470799528
1863,740490492,1582312964
1966,802249244,1700618736
2069,883954328,1809723940
2172,979914016,1913308588
2275,1076711188,2010497696
2379,1173399376,2107753352
2482,1270080604,2205585720
2585,1366747544,2302794628
2688,1463325296,2400525384
2792,1560139048,2497873888
2895,1656374748,2595198440
2998,1739838636,2694895736
3101,1741492424,2810729596
3205,1742797152,2902177320
3308,1772355156,3016456856
3411,1808530448,3136283900
3515,1857229420,3249758452
3618,1920348416,3369069380
3721,1995617292,3481883024
3825,2103358596,3593936352
3928,2203524932,3707811328
4031,2310324584,3817066928
4135,2414286232,3923167388
4238,2518439676,4027761484
4341,2626243316,4132076864
4445,2752259820,4227097264
4548,2845464952,4299014976
4651,2886733056,4333100188
4755,3000762972,4386589152
4858,3124896096,4456510960
4961,3242079032,4522613272
5065,3368412356,4565881056
5168,3494272872,4625925252
5271,3620575020,4669542884
5375,3746639788,4713201940
5478,3872796012,4757516976
5581,3998903396,4801628288
5685,4125396876,4843913536
5788,4251330200,4885325596
5891,4333262248,4921585196
5995,4449887400,4973051048
6098,4575985040,5003926488
6201,4670581144,5049385116
6304,4796600200,5066554076
6408,4919186672,5091742860
6511,5045208472,5098312108
6614,5171208220,5107901676
6717,5297438120,5120625632
6820,5423494852,5133156752
6923,5549319212,5145563132
7027,5661781524,5157339820
7130,5785200708,5173167868
7233,5910745488,5182856992
7336,6026772952,5199070536
7439,6152505000,5204231644
7542,6278393136,5209085212
7645,6403736360,5216001176
7748,6529732376,5220774432
7851,6655478940,5225380616
7954,6781287796,5230140592
8057,6907006832,5234891884
8160,7026766344,5239463528
8263,7151480800,5245035544
8366,7272424472,5248972608
8469,7397429384,5254875880
8572,7523282384,5257896356
8675,7649197416,5260641260
8778,7775069464,5263913096
8881,7900988744,5266718072
8984,8026928552,5269523124
9087,8152746892,5272327436
9190,8278549096,5275128568
9293,8403212976,5277907964
9396,8525861388,5280787244
9499,8633871808,5283187140
9602,8682826056,5284091208
9705,8808910432,5286243796
9808,8934236168,5292360168
9912,9057549472,5370367152
10015,9183508584,5445431492
10118,9309589436,5519260604
10222,9435541512,5593019820
10325,9561752824,5667176136
10428,9687667708,5741082976
10532,9813882296,5814952736
10635,9939814120,5888791552
10738,10065745688,5962570220
10841,10191492484,6036291496
10944,10317680164,6110598744
11048,10443685768,6184599620
11151,10569806296,6258206400
11255,10695808168,6321942028
11358,10821769100,6369957388
11461,10947570092,6417499700
11564,11073256144,6465157892
11667,11198985800,6514229436
11770,11324835156,6562465456
11873,11450566712,6610127992
11976,11576069060,6657734848
12079,11701572736,6705585916
12182,11827174648,6753227832
12285,11952754200,6800713500
12388,12078480804,6848583244
12492,12204080984,6896136784
12595,12329569976,6944045892
12698,12455106948,6991762508
12801,12580728772,7039432624
12904,12706238452,7086900248
13007,12831836988,7134595464
13110,12957394060,7182606240
13213,13083032120,7230298368
13316,13208526688,7277922156
13419,13334186768,7325792760
13522,13459772728,7373228372
13625,13585551304,7421123856
13729,13711193452,7468969064
13832,13836899616,7516669464
13935,13962884744,7564401480
14038,14089158464,7612352040
14142,14215361452,7660874068
14245,14341557796,7723936920
14348,14467546148,7791296556
14452,14593333300,7857632912
14555,14719198160,7918805880
14659,14845007556,7986004052
14762,14970903296,8052408876
14865,15096835924,8113546572
14969,15222635528,8180601424
15072,15348587660,8246603036
15176,15474320860,8308272828
15279,15600063576,8375138216
15382,15725868500,8441057300
15486,15851592568,8502469460
15589,15977439160,8570083100
15692,16103188740,8635041372
15795,16229196812,8696985376
15899,16355203216,8764107424
16002,16481172952,8824521080
16105,16607367192,8872891216
16209,16733508168,8932179428
16312,16859098988,8999324116
16415,16984762324,9062591240
16518,17110438400,9127271052
16622,17236216624,9193311792
16725,17362141484,9257381544
16829,17487909600,9321654204
16932,17613694052,9387732412
17035,17739282936,9452288964
17138,17864985828,9516037368
17242,17990509124,9581983796
17345,18116413612,9646922640
17448,18242094660,9710286368
17551,18367818436,9775942988
17655,18493460256,9841309300
17758,18619137784,9902733976
17861,18744689416,9965377540
17964,18870134140,10031007556
18067,18995767580,10094610724
18170,19121336076,10158193700
18274,19246846040,10223047324
18377,19372510484,10287209820
18480,19498058764,10352639636
18583,19623887148,10417458568
18686,19749720672,10481978244
18789,19875481412,10547167636
18892,20001378744,10612349672
18996,20127222428,10676918984
19099,20253065896,10742058540
19202,20378951236,10806867768
19305,20504756984,10871699288
19408,20630418648,10935835656
19511,20756221172,11000933456
19614,20881675420,11065779576
19718,21007319012,11129069832
19821,21132899152,11193288040
19924,21258847860,11258019040
20027,21384301504,11324020148
20130,21509833340,11388931056
20233,21635357424,11453464112
20336,21760912708,11518896672
20439,21886555076,11583457864
20542,22012323528,11647639376
20645,22138014740,11712562008
20748,22263892280,11777757000
20852,22389615232,11842349784
20955,22515136656,11906977248
21058,22640560652,11971761936
21161,22766117264,12036756716
21264,22891451764,12100730112
21367,23016955196,12165547156
21470,23142399996,12230103392
21573,23268008136,12294300056
21676,23393649604,12359168932
21779,23519236360,12424346824
21882,23644740080,12490356916
21985,23770345312,12555024636
22088,23895831392,12619553420
22192,24021496464,12684132804
22295,24147024172,12748587576
22398,24272944176,12813700200
22501,24398663384,12878818756
22604,24524355364,12942959616
22707,24649968496,13007878368
22810,24775776316,13072909876
22913,24901085640,13137344032
23016,25026578632,13201968228
23119,25151996180,13267011076
23222,25277475120,13331901376
23325,25403056436,13396191612
23428,25528634484,13461290128
23531,25654125152,13525701256
23635,25779682532,13590227500
23738,25905346876,13656103712
23841,26031049512,13720700620
23944,26156384920,13785191472
24047,26281852248,13850520696
24150,26407295468,13915141096
24253,26533044312,13979474424
24356,26658662644,14043969788
24459,26784231488,14109169400
24562,26910008308,14173853928
24665,27035589068,14238296452
24768,27161067632,14303116184
24871,27286634208,14367872560
24974,27412064956,14432712340
25077,27537497244,14497412740
25181,27662940308,14561818264
25284,27788846548,14626519228
25387,27914286708,14691837880
25490,28039636208,14756501604
25593,28165090992,14822033928
