TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1842144,130515480
416,3563820,251304744
519,5237512,368479800
623,42023564,511913692
726,106249680,658257268
829,176598244,798132956
932,247013200,932623492
1035,316707028,1070520396
1139,386364432,1207963136
1242,456650064,1345758436
1345,526503892,1483632152
1448,591848340,1610800300
1551,681830136,1721625024
1654,784591472,1830988704
1757,887851988,1934341220
1860,991258816,2038392540
1963,1094667196,2142340712
2066,1197864596,2246226800
2169,1301483336,2350470672
2272,1404537520,2453967776
2375,1508032400,2557800352
2478,1611455432,2661959912
2581,1714649668,2765554064
2684,1747171380,2881914528
2787,1784443800,3035462180
2890,1863401424,3170142976
2993,1964035172,3272470436
3096,2049421184,3364132132
3199,2157995852,3473924860
3303,2257264216,3572598832
3406,2349080296,3662194708
3509,2462767300,3776928360
3612,2576622168,3891159660
3715,2683327620,4003017228
3819,2790477000,4108771316
3922,2879898464,4195996704
4025,2984679064,4290842732
4128,3108010588,4364125324
4232,3214161728,4418054708
4335,3351710800,4489018044
4438,3489847744,4560066084
4542,3633236064,4627481840
4645,3746044832,4665926744
4748,3884754112,4714632516
4851,4035670120,4767439100
4955,4187453332,4820548772
5058,4339554312,4873702708
5161,4490481000,4923974392
5264,4605099052,4954982892
5367,4747116948,4991857620
5470,4873759616,5015098252
5574,5021401276,5035824988
5677,5186535380,5059281452
5780,5353304056,5081994536
5883,5475378568,5096351488
5986,5641518972,5113046228
6089,5814214080,5130398628
6192,5986045212,5147654800
6295,6156184116,5164217108
6398,6293987080,5177556020
6501,6443083720,5189477820
6604,6577664432,5198915260
6707,6734568012,5206481948
6810,6909380428,5214937884
6913,7077276296,5222756980
7016,7205768900,5228343692
7119,7383130520,5235066076
7222,7560706832,5241801880
7325,7738048880,5248534208
7428,7913881188,5254997476
7530,8039774228,5259608596
7634,8199616780,5264864224
7737,8324696212,5268428596
7839,8500832264,5272820604
7942,8677238816,5277169836
8045,8830443372,5280964228
8148,8979312324,5284344488
8251,9157698880,5288318760
8354,9335972756,5292289408
8457,9512529140,5296210212
8560,9671481988,5299706484
8663,9780604312,5302043108
8766,9842145348,5303414844
8869,9905567652,5304770916
8972,9970254404,5306638060
9075,10030754764,5307761584
9178,10090277616,5309181744
9281,10150747040,5310492428
9384,10213072336,5311829480
9487,10273904932,5313067820
9590,10316886404,5314005876
9693,10445379428,5316216108
9796,10559345320,5387924048
9899,10670010296,5451710468
10002,10778034000,5515259152
10105,10886341496,5578620916
10209,10994680452,5642035328
10312,11103322840,5705468176
10415,11211802752,5769010264
10518,11319980072,5832353544
10621,11428102880,5895643144
10725,11536460824,5958953656
10828,11644434848,6022379832
10931,11753005752,6085676016
11034,11861192360,6148966576
11137,11969522092,6212258468
11240,12077926528,6275756304
11343,12186067608,6339085664
11447,12293996040,6402250744
11550,12363230472,6433947060
11653,12419249952,6451440060
11755,12474684008,6473632560
11858,12530339656,6492588504
11961,12585861740,6515151056
12064,12641653396,6535403288
12167,12697533216,6556729300
12270,12753197812,6577909152
12373,12808847912,6599127432
12476,12864426280,6620144112
12579,12920143932,6641261648
12682,12975873412,6662479152
12785,13031496688,6683500400
12887,13087061864,6704566268
12990,13144077744,6725946720
13093,13200486308,6747473712
13196,13256857460,6768877516
13299,13313526704,6790052740
13402,13370269796,6811875592
13505,13426820360,6833253280
13608,13483448668,6854943740
13711,13540104664,6876335868
13814,13597052968,6897897136
13917,13653660644,6919305088
14019,13710453412,6940847132
14122,13767037492,6962425016
14225,13823878816,6983827976
14328,13880742632,7005566760
14431,13938169820,7027253160
14534,13994170820,7048070284
14637,14050029612,7069564824
14740,14105886292,7090930896
14843,14161720612,7111965124
14946,14217398584,7133166472
15049,14273281032,7154093356
15152,14328887372,7175475892
15254,14384451708,7196366820
15357,14440008648,7217388140
15460,14495637748,7238540964
15563,14551438248,7259931176
15666,14607393412,7281059068
15769,14663043516,7302264388
15872,14719947716,7323802488
15975,14775622908,7345108952
16078,14831329928,7366136984
16181,14887166540,7387003200
16284,14943194804,7408422880
16387,14998883864,7429433312
16490,15054301364,7450443356
16593,15109809308,7471624812
16695,15165458972,7492660272
16798,15221244296,7513816132
16901,15276993408,7534879284
17004,15332591260,7556035936
17107,15388143736,7577074408
17210,15443961704,7598421700
17313,15555291552,7629449300
17416,15696894592,7669448608
17519,15836134364,7707044304
17622,15967694724,7741393280
17725,16100404536,7774335852
17828,16231191336,7807056356
17931,16364183680,7840473260
18034,16495205624,7874098796
18137,16626324184,7906565320
18240,16768918568,7947341576
18343,16916524176,7991562448
18447,17060206480,8033523716
18550,17205308680,8078700568
18653,17350779624,8123587648
18756,17496087096,8168193312
18859,17641451680,8212939832
18963,17774689576,8271052204
19066,17906605504,8329770580
19169,18037907832,8389391352
19272,18169054808,8448763384
19375,18301476596,8508196956
19479,18419162864,8572497372
19582,18535528680,8637564964
19685,18651712872,8702180384
19788,18767795044,8766843220
19892,18890989816,8820157304
19995,18999258144,8849695820
20098,19103829904,8875938484
20201,19207137372,8923020520
20305,19310500160,8960789260
20408,19415032900,8992464644
20511,19519400388,9036554044
20615,19624947988,9069377812
20718,19734352920,9116288464
20821,19862459836,9168754996
20924,19995046048,9216057624
21027,20124803564,9267212400
21131,20255606804,9323302124
21234,20393563980,9372249688
21337,20510782348,9435259524
21440,20632422484,9505772216
21543,20752214708,9574300484
21647,20879518892,9639697484
21750,20979899140,9713688564
21853,21043381492,9797141508
21956,21105256092,9880778296
22059,21186085348,9963846860
22163,21294733016,10004728640
22266,21395255200,10040460468
22369,21491082856,10075933292
22472,21591149728,10118796372
22575,21687218512,10152901892
22678,21787177932,10190386876
22781,21883134384,10229338292
22884,21984268432,10264497064
22988,22101444544,10317510388
23091,22220750532,10363101772
23194,22342434136,10406531148
23297,22455552428,10456679032
23401,22574985404,10503010812
23504,22711404544,10556915120
23607,22829599816,10622869316
23711,22953718888,10692340036
23814,23072872668,10760402192
23917,23194235568,10830391732
24020,23286715272,10910582224
24123,23368715712,10995956356
24226,23465376256,11078932520
24330,23548495616,11153381200
24433,23677066984,11192116096
24536,23783666960,11229629620
24639,23883210988,11273440216
24742,23984789608,11311892272
24845,24085011584,11347319184
24948,24194716292,11387350348
25051,24297733912,11425703212
25154,24408161612,11472965372
25257,24543637480,11533594380
25361,24676712904,11577713292
25464,24811208852,11632660408
