TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,2147556,151079976
831,13080388,328011864
934,35403032,511252776
1039,58852144,707559924
1142,116477004,869376764
1246,168085448,1050788960
1349,236186448,1186607748
1452,312138308,1234748200
1555,416292944,1304163352
1659,501311188,1473767004
1762,581942280,1640892996
1865,671824692,1771802956
1968,773922744,1848322148
2072,872437260,1947371584
2175,969349192,2055441260
2278,1067827936,2152054356
2381,1166961852,2248752400
2485,1265504580,2349662808
2588,1363805028,2448605424
2691,1413092204,2557212744
2794,1414752380,2673536376
2898,1416371632,2786760572
3001,1417800608,2886218616
3104,1432795684,2972814596
3208,1491617636,3160894552
3311,1553068928,3344330844
3414,1613142228,3528294240
3518,1674625256,3704710568
3621,1731715256,3855462296
3725,1786228136,3960059268
3828,1855655700,4076803032
3931,1987897152,4186260784
4034,2082737784,4273301920
4138,2137084232,4313072476
4241,2188668596,4434423428
4344,2242027852,4481710592
4447,2296660920,4489247920
4550,2337121492,4494257712
4653,2439027840,4550597708
4756,2577771788,4669244748
4860,2721991896,4774912220
4963,2848155060,4825368620
5066,2957867800,4840137800
5170,3026159176,4878837444
5273,3167165940,4974567692
5376,3312168592,5037340768
5480,3493805436,5050427764
5583,3617031324,5108099412
5686,3679783844,5114539296
5789,3810755284,5122914744
5892,3871073008,5128812596
5996,3931159628,5134901640
6099,3981323224,5152795632
6202,4040457056,5164965224
6304,4101808820,5167940616
6407,4162916896,5170877556
6510,4217999292,5173164692
6613,4234297636,5173717136
6717,4393321524,5176433600
6820,4555660276,5179204384
6923,4719019076,5181991224
7027,4841062668,5259370392
7130,4965088404,5348889740
7233,5090607784,5436807148
7337,5220588668,5506729704
7440,5350455464,5579596564
7543,5478736892,5657240084
7646,5606981180,5732206020
7750,5735493492,5806806860
7853,5863180980,5881890884
7956,5991421244,5956945380
8060,6119246520,6031612868
8163,6256561120,6103290396
8266,6432532392,6153915264
8370,6608121760,6205026268
8473,6782498324,6261174004
8577,6954216416,6316637884
8680,7101711924,6415728988
8783,7229722000,6503837932
8886,7333509244,6553019916
8990,7437313824,6601755872
9093,7540588896,6648619324
9196,7675761500,6714970192
9300,7826671404,6779508192
9404,7973969128,6864218044
9507,8118371136,6954663856
9610,8255057436,7013332220
9714,8412976872,7067245340
9817,8565502252,7139473004
9920,8691433996,7221221084
10023,8808554600,7287440216
10127,8947123228,7339722836
10230,9101450140,7399111700
10333,9251056360,7455929688
10436,9377197928,7516291312
10540,9541414400,7571539204
10643,9702683248,7635526028
10747,9858445020,7733844184
10850,10007749100,7855593060
10953,10162713052,7946917140
11057,10328786180,8005316732
11160,10487569148,8077101408
11264,10643316468,8176365088
11367,10799779316,8265253744
11470,10958493068,8337231964
11573,11118268620,8407822076
11677,11264301756,8495397500
11780,11390564588,8581834852
11883,11498311160,8645246780
11987,11658336072,8704581504
12090,11822631456,8759851316
12193,11982449284,8847070440
12297,12139480024,8945392404
12400,12294038992,9052934208
12503,12453245300,9147455340
12606,12616879820,9214759868
12710,12779077532,9292811268
12813,12937737148,9384010664
12916,13097365704,9467945500
13020,13258825188,9546329992
13123,13414245220,9623394488
13226,13544404808,9709544356
13330,13646489140,9769650088
13434,13789334820,9833775208
13537,13956806424,9903069552
13640,14125799508,9976453848
13743,14285394116,10083739912
13847,14438305992,10198155528
13950,14603478312,10291986384
14054,14770267580,10375476128
14157,14937798240,10456669124
14260,15103238920,10542724760
14364,15268359668,10629425308
14467,15432962764,10713263756
14570,15589327644,10792535220
14673,15724890532,10881020572
14777,15824641952,10936952684
14880,15973019096,11003189480
14983,16140510584,11075361320
15086,16308944476,11152798748
15190,16469238276,11261289668
15293,16623813696,11375715760
15396,16789425696,11468389032
15499,16956074252,11555584312
15603,17125206368,11638288116
15706,17291682004,11723004008
15809,17457080944,11810035216
15913,17621326296,11894762116
16016,17778530052,11974988236
16120,17912339516,12062631564
16223,18007001268,12115597416
16326,18162767592,12183108540
16430,18330324992,12255926124
16533,18500106680,12336696988
16637,18661873584,12445776680
16740,18818615956,12558684104
16843,18983179424,12656380460
16946,19151385716,12743475044
17050,19320719852,12823009820
17153,19487674468,12908217864
17256,19654392940,12997149804
17359,19818233396,13081670272
17462,19975801532,13161818072
17566,20107717388,13248338004
17669,20202510884,13300877944
17773,20367361192,13371071016
17876,20536866172,13446178592
17980,20702950480,13543272672
18083,20870335168,13637595952
18187,21028089336,13747114108
18290,21190320008,13854462584
18394,21362775776,13940357080
18497,21535576584,14018328984
18600,21703260092,14104636200
18704,21870053068,14194450932
18807,22032148708,14278305652
18910,22185608908,14369880736
19014,22308224500,14438520416
19117,22413398024,14492502916
19220,22584350560,14564493748
19323,22755398700,14642602400
19427,22917354844,14752173500
19530,23083545560,14856595540
19634,23247021772,14949275716
19737,23412067684,15049153916
19840,23581743220,15135611076
19943,23753260672,15216641032
20047,23921398356,15303816212
20150,24088943896,15392801056
20253,24248538548,15475126216
20356,24393083440,15566895864
20460,24504485960,15627170728
20563,24631816768,15687129324
20666,24799638704,15758303176
20770,24968753984,15836889924
20873,25129808152,15946803892
20976,25286163516,16055909112
21080,25454348444,16146230004
21183,25619138104,16241473156
21287,25787670080,16325666612
21390,25957014076,16408620912
21494,26123441168,16495006412
21597,26291595896,16582856848
21701,26448319848,16663369308
21804,26588058632,16753103520
21907,26690785140,16809566580
22010,26830804184,16873555640
22114,26998704108,16944793396
22217,27167175624,17024095312
22320,27327404932,17134090856
22424,27485080632,17247279248
22527,27651102016,17337609816
22630,27817563152,17428907808
22734,27986524080,17512821960
22837,28154616876,17596677872
22941,28321144232,17684053232
23044,28485678560,17769609340
23148,28640697636,17848747560
23251,28775714240,17936154744
23354,28871782600,17989889868
23457,29022595340,18056247480
23560,29188344304,18127850596
23664,29355505792,18207404500
23767,29514830456,18314535192
23871,29669045288,18428232880
23974,29832535472,18520771312
24077,29997638776,18608667472
24181,30164892736,18690032708
24284,30331074284,18773649172
24387,30494663992,18859887864
24491,30658717536,18944554736
24594,30818543784,19026296964
24697,30955467944,19115713524
24801,31051891056,19169940060
24904,31212293788,19238924872
25007,31383800388,19313997132
25111,31554244468,19400559088
25214,31718745916,19505574168
25318,31879890540,19618617592
25421,32045637844,19721910096
25525,32216031652,19809853464
25628,32390411992,19889240520
25731,32559586812,19976115252
