TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1298440,65074992
417,2458460,144912288
520,4206724,254903800
623,26907968,342382444
727,59169732,377434784
830,97349748,411029304
934,144821104,447828292
1037,206367892,510971696
1140,251800076,549224392
1244,299550348,568483312
1347,353402568,621522724
1450,394411264,664851800
1554,436226852,702863068
1657,487562824,748502360
1760,543381504,803787568
1863,588531316,841907480
1967,636881808,858159160
2070,689128696,909249464
2173,729098848,951987928
2277,769826380,990008404
2380,817708676,1030822916
2484,880028508,1089839724
2587,925679544,1131020456
2690,974005064,1146980696
2794,1027507412,1198517360
2897,1068842496,1243252092
3000,1110032552,1280700840
3103,1158661108,1322357344
3207,1220422624,1381725684
3310,1266478552,1420738572
3413,1314662568,1436495932
3516,1366464512,1489430960
3619,1407327832,1533308368
3723,1448969344,1570419520
3826,1499941572,1615365748
3929,1561000708,1672899092
4032,1607475980,1711441540
4135,1655363808,1727316760
4238,1706723468,1781920112
4342,1747223680,1825480836
4445,1788173056,1861018916
4548,1839986204,1907073140
4651,1900962624,1964096108
4754,1947005472,2001949120
4857,1994910352,2018910876
4961,2046611616,2072254712
5064,2087944356,2117042948
5167,2129790568,2152489260
5270,2185558704,2201342240
5374,2242815024,2257157240
5477,2290403372,2293176304
5580,2337593248,2312425568
5683,2389780428,2367024952
5787,2431889104,2412768192
5890,2473531248,2445276924
5993,2536053764,2503329960
6096,2588816276,2555468524
6199,2635486428,2584700492
6302,2682204688,2608543236
6405,2739571764,2659538360
