TIME,RECV,XMIT
4,0,0
107,0,0
210,1179844,81868420
314,2277308,158625800
417,4687728,328393960
520,63215160,388191652
623,115839820,429265996
727,168267592,488549100
829,228759548,535180532
933,284262592,574858124
1036,336374768,624492672
1139,399145144,679825932
1242,457904928,726847200
1345,515738552,769146704
1448,576955244,821290508
1551,629761672,861259544
1654,684157312,907260464
1757,742869000,965925420
1860,803275888,1006088636
1964,861318004,1052276104
2067,923093280,1100099604
2170,976669948,1143045112
2273,1029384196,1191195832
2376,1092447804,1236070028
2480,1148726208,1291495976
2583,1207853192,1333905684
2686,1270127344,1381631476
2789,1324057520,1428287696
2892,1379368828,1460199092
2996,1439407356,1520913128
3099,1494647760,1568340940
3202,1554685148,1610403960
3305,1613595592,1661204344
3408,1670274848,1706840204
3511,1724577548,1743865132
3614,1777490616,1791298448
3717,1842276796,1850556108
3821,1898162060,1891140104
3923,1958149620,1935586460
4027,2017816756,1989623440
4130,2071891832,2023572816
4233,2125305648,2075339032
4336,2187235296,2132282792
4439,2248021476,2169043368
4542,2304032672,2220954864
4645,2365429584,2270522188
4749,2418047856,2312487052
4852,2472264340,2357107060
4955,2533900052,2411255380
5058,2593083704,2457631804
5161,2650229292,2498187432
5264,2711883988,2550374512
5368,2767554260,2594944968
5471,2820401052,2636332080
5573,2886049348,2695248332
5677,2968266328,2761061696
5780,3067550404,2835681044
