TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
726,0,0
829,1591352,112209864
932,4546708,320600232
1035,6001660,420781560
1138,6336896,444269568
1242,6738408,472149360
1345,8014616,563091000
1448,10864120,760313240
1551,11380764,796172960
1654,11787672,825668720
1757,12506932,876432704
1860,15211188,1065653000
1964,16386892,1147328888
2067,16859580,1180212968
2170,17436428,1220781584
2273,19721812,1382134036
2377,21335856,1493949680
2480,21946372,1536764144
2583,22550252,1579092080
2687,24284576,1701241016
2790,84022872,1853648328
2893,268722920,1954485680
2996,398504776,2130443716
3099,555900592,2267686992
3202,759519016,2290270548
3305,967440096,2293827536
3408,1174691140,2297362884
3511,1380651140,2300879736
3614,1587852320,2304415232
3717,1794538596,2307945476
3820,2000616756,2311458924
3923,2206020660,2314964968
4026,2305628340,2316639884
