TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,186248,14057184
829,2369640,166770504
933,5193864,365499816
1036,6137320,430008216
1139,6456804,452392848
1242,6908104,484012824
1346,9095936,637065420
1449,11050856,772646004
1552,11479588,802767300
1655,11935908,834834708
1758,13044468,913277580
1862,15564520,1090201092
1965,16451056,1150812924
2068,17000748,1189604844
2171,17873276,1251693636
2274,20254632,1417895076
2378,21501764,1504814172
2481,22131744,1549201164
2584,22907800,1603709676
2687,25041592,1754116332
2791,68581048,1843861740
2893,128823840,1879016984
2996,189165076,1910825368
3099,249386336,1943339680
3202,310370340,1950933292
3305,370717404,1967701588
3408,410438756,2159412632
3511,469656936,2215995976
3614,529697620,2252255164
3717,589375856,2282435892
3820,649176116,2288347104
3923,710301796,2289390356
4025,771121780,2290427984
4128,832021988,2291467460
4231,893327604,2292514264
4334,953801796,2293546120
4437,1012125332,2294541496
4540,1073106836,2295582156
4643,1133992948,2296621856
4746,1195225940,2297666144
4849,1256450260,2298711248
4952,1317709268,2299756496
5055,1378595380,2300795976
5158,1438644644,2301820876
5261,1499578452,2302860132
5364,1560729060,2303903680
5467,1621870996,2304948188
5570,1682145732,2305976492
5673,1740443252,2306971572
5776,1801567844,2308014304
5879,1862063716,2309046680
5982,1922754708,2310082308
6085,1983163860,2311113720
6188,2041964356,2312116864
6291,2101723108,2313136956
6393,2159977268,2314131588
6496,2218140372,2315123632
6599,2276085592,2316112644
6702,2306412660,2316622872
