TIME,RECV,XMIT
4,0,0
107,0,0
210,1225244,81264392
314,2315576,157657976
417,4847004,334289952
520,47877660,357059740
623,82151676,398502996
727,122944604,424971528
830,159840916,476400012
933,195537852,515231472
1036,271321624,581005900
1139,369587532,643815196
1243,455743740,714549360
1346,541308004,777721416
1449,626317116,839521780
1552,718206096,909648904
1655,804818228,975662244
1758,887686012,1043390692
1861,973354536,1110774820
1964,1056820708,1185513880
2067,1147360660,1243436812
2170,1227697004,1298211140
2273,1308583348,1367379420
2377,1392843344,1434678904
2480,1479771220,1501619756
2583,1562118676,1569600556
2686,1643152636,1637052932
2789,1726774556,1698867076
2892,1812004128,1774316296
2995,1898364012,1837983064
3098,1977179580,1893850600
3201,2059451944,1960214544
3304,2140710796,2040219720
3407,2226620944,2102474344
3510,2306613088,2164545056
3612,2387208220,2231100000
3716,2469831148,2299128184
3819,2555651600,2360444876
3922,2638661404,2432087360
4025,2721215608,2502894720
4128,2805026036,2571376172
4231,2918107804,2662851888
4334,3008713300,2734981864
