TIME,RECV,XMIT
4,0,0
107,0,0
210,1136064,78053436
313,2207608,153135132
417,4307284,299453300
520,91507352,409204660
623,185551840,511856136
726,291220552,601919840
830,403899464,723949456
933,517524320,794061932
1036,635430400,877565704
1139,737358312,963096964
1242,840807728,1038625588
1345,964343312,1133386048
1449,1079410720,1238853032
1552,1195605720,1329581548
1655,1307524492,1449492920
1758,1398417612,1545035976
1862,1532478128,1613527648
1965,1654934184,1700087064
2068,1763311396,1791917704
2171,1869608744,1919834748
2275,1976979600,1987699028
2378,2083115140,2057796416
2481,2191190516,2177889544
2584,2295311184,2249539560
2687,2405520772,2358720380
2790,2521642612,2427420044
2894,2617582656,2520735040
2997,2747069532,2605026300
3100,2855619892,2688952944
3203,2977604956,2798961208
