TIME,RECV,XMIT
4,0,0
107,0,0
210,1199760,79400816
313,2252460,153235784
416,4323668,296253740
520,49746856,391316504
623,105916768,434520436
726,177442140,508181468
829,242118128,572750932
933,332727036,655384692
1036,423390204,727625220
1139,514408360,796110392
1242,600580296,868514924
1345,694041732,950581592
1448,784517860,1020820980
1551,875329944,1089792472
1654,961432596,1164368924
1758,1055337804,1242805312
1861,1146635908,1312727812
1964,1236411140,1382274568
2067,1324697512,1458606196
2170,1416874592,1535090568
2273,1508105100,1603953008
2377,1598800200,1674218364
2480,1685674856,1750605072
2583,1778569668,1825021548
2686,1869135424,1895319408
2789,1958981468,1965183304
2893,2048481528,2042781816
2996,2140214896,2116477268
3099,2233524900,2186026184
3202,2319558784,2255686272
3305,2408761840,2333081260
3408,2500998460,2407246920
3512,2595149636,2478228608
3615,2681320676,2548472908
3718,2771467068,2624356936
3821,2881945540,2712661740
3925,2965024748,2776397380
4028,3017052256,2821696572
