TIME,RECV,XMIT
4,0,0
106,0,0
210,1245440,81490576
313,2341972,158383720
416,4774832,329125008
519,60387504,404206424
622,119136200,446779608
726,186216772,531307960
829,252484280,588423356
932,341308092,668219816
1035,429220852,729695296
1138,517593236,802024248
1241,600101188,873652080
1344,691954796,948581864
1448,782343892,1018949164
1551,867720208,1085072472
1654,953046728,1156453112
1757,1040982160,1231868384
1860,1131422144,1299920476
1963,1216458904,1367113868
2066,1302361824,1435403916
2169,1389148620,1513506980
2272,1479798144,1580684124
2375,1566196508,1650188632
2479,1652151368,1716105008
2582,1737817216,1794397436
2685,1827786832,1861849224
2788,1914340000,1932649800
2891,2000261076,1993778872
2994,2085580032,2076489860
3097,2176257936,2144109412
3200,2265318960,2217383192
3304,2352277224,2277499868
3407,2441434180,2363730456
3510,2532923072,2431821808
3613,2624228848,2508042372
3716,2711974476,2568737176
3820,2808850416,2663282248
3923,2918050272,2751621836
4026,2979082020,2802736956
