TIME,RECV,XMIT
5,0,0
108,0,0
211,1146172,78761508
314,2235512,155029116
417,4381188,304953956
521,77358824,413280612
624,176968396,503602100
727,280797028,595083648
831,385009436,681832640
934,481600724,757055328
1037,595328872,846995560
1140,691265320,936073024
1243,810337880,1031001320
1347,907480688,1107435560
1450,1003307100,1187077864
1553,1125047492,1281657204
1656,1221372076,1361385928
1759,1335091896,1451416348
1863,1436142408,1540589376
1966,1544127580,1622056920
2069,1652575476,1704981124
2172,1751290400,1791918572
2276,1871794932,1890456692
2379,1970025232,1968390736
2482,2071162412,2053124672
2585,2179127892,2140078256
2688,2278067456,2215824080
2792,2389602964,2301782612
2895,2484494240,2389866300
2998,2602255940,2481450716
3101,2699942100,2559231492
3204,2794116408,2636406148
3308,2934292176,2758347756
3411,3037056488,2850154700
