TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
623,0,0
726,0,0
829,1986664,139789920
932,4864396,340821552
1035,6138992,430431764
1138,6496916,455203416
1241,6933768,486089256
1345,9136692,641691336
1448,11110584,778922640
1551,11583148,811845816
1654,12055652,844673424
1757,13638076,956548800
1860,16003688,1121855376
1964,16590332,1162710696
2067,17065312,1195820664
2170,18119872,1270832856
2273,20419576,1431578232
2376,21565396,1511221128
2479,22175848,1553979120
2582,22954384,1609482408
2685,25038080,1755462528
2789,156320916,1896122720
2892,335882044,2031026008
2995,472521192,2208856248
3098,683341568,2289098288
3201,928108768,2293273072
3304,1164854368,2297314584
3407,1403563276,2301401092
3510,1641027568,2305451704
3613,1876085384,2309465464
3716,2114901420,2313541460
3819,2305651816,2316766232
