TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1907328,98118048
417,3129656,184186816
520,13278128,349595660
623,38353248,379368060
726,61493728,407906640
829,89469312,437709944
933,122645312,454300764
1036,168037968,506812296
1139,211178484,543804592
1242,252079984,583183784
1345,299601940,594744556
1448,344698012,651793220
1551,394646084,682068012
1654,438994256,729658296
1758,484090680,759194508
1861,535363436,806967832
1964,585758092,846917328
2067,631529128,878773576
2170,677957884,901384228
2273,725862308,948389640
2376,771974088,989157060
2479,817231072,1023965036
2582,862633556,1058601844
2685,918266000,1103379888
2788,964449008,1162220768
2891,1011699412,1176199168
2994,1058023180,1202430572
3098,1107771424,1251738308
3200,1152369644,1297770152
3303,1198037652,1328064020
3407,1245536844,1365722080
3510,1300056260,1411864620
3613,1344803168,1459997284
3716,1391321788,1472677872
3819,1438160688,1520863724
3922,1486235656,1557283272
4025,1530744068,1606422168
4128,1577670308,1630887532
4231,1630158960,1680021156
4334,1682695616,1728641452
4437,1728314460,1755235784
4541,1774723572,1777859248
4644,1824061700,1827347484
4747,1870198656,1870710472
4850,1915490896,1903917660
4953,1961234692,1936336628
5056,2021737512,1985652000
5159,2068031084,2039125104
5262,2114446264,2051946232
5365,2160596464,2084597824
5469,2209862880,2131486944
5572,2254825944,2178293892
5675,2300907336,2206084548
5778,2349179704,2248755728
5881,2406155688,2297992576
5984,2451794880,2336463752
6087,2498349504,2350153704
6190,2545277736,2403790760
6293,2593571132,2436448720
6396,2638336576,2484315216
6500,2684629268,2513704116
6603,2740764076,2565252076
6706,2792282936,2610881316
6809,2839026348,2632569164
6912,2884488724,2660834360
7015,2949309560,2739935440
