TIME,RECV,XMIT
4,0,0
106,0,0
210,1167320,80829104
313,2264780,157809128
416,4638560,324816684
519,61455152,386094308
622,114321908,429218376
725,166736600,487556388
828,226967424,531106668
931,280776836,571488080
1034,334180480,623247968
1138,396276888,675215916
1241,456350380,725119024
1344,512842532,763967104
1447,574328784,819808172
1550,627154000,861132536
1653,682787568,902654628
1756,742838372,964676208
1859,802398088,1005635020
1962,858286588,1049472944
2065,921211208,1099251036
2168,975329596,1140986628
2271,1028432864,1187071536
2375,1091561572,1235021928
2478,1147611396,1289622516
2581,1206953940,1331945344
2684,1268072672,1378420228
2787,1320719464,1422274088
2890,1372392464,1457084384
2993,1431282520,1514381828
3097,1486785292,1561698396
3200,1542203176,1601354072
3303,1602049072,1649534544
3406,1661264716,1697023032
3509,1715220908,1738449076
3612,1768076768,1785141336
3715,1831471536,1842707576
3819,1890587080,1879778656
3922,1946586744,1930613492
4025,2008017756,1982587236
4128,2060608688,2022636396
4231,2114997568,2067167756
4334,2176442468,2121000732
4437,2234119804,2167283520
4540,2291719516,2208958132
4644,2353144700,2260600444
4747,2407261164,2301154632
4850,2460062944,2340790468
4953,2518243256,2392799936
5056,2577527784,2446244048
5159,2635086016,2485040356
5262,2698039216,2537361456
5366,2750644408,2578886968
5469,2805843820,2619665556
5572,2865368320,2673544712
5675,2946387496,2747043188
5778,3027926672,2810882676
