TIME,RECV,XMIT
5,0,0
108,0,0
211,1146916,78535620
314,2230860,154742412
417,4346400,301843728
521,60342472,372050776
624,138531352,459639668
727,225856276,530069592
831,319277540,619251756
934,417736984,694240420
1037,514508224,777376816
1140,607619664,844126492
1243,704230820,935385428
1346,801548300,1010500700
1450,899360820,1086585160
1553,989811076,1162967048
1656,1090127844,1249449572
1759,1184732432,1317692332
1862,1281696020,1396895928
1965,1377480268,1474149964
2069,1472905976,1549596284
2172,1570106324,1630430056
2275,1662071304,1695420132
2378,1755857724,1785053724
2481,1856011872,1855214108
2584,1953414512,1939986728
2688,2046784580,2013083832
2791,2144051268,2098638192
2894,2237201560,2170494844
2997,2334469356,2246314328
3101,2427470984,2323307356
3204,2527885372,2412431552
3307,2622137192,2479107244
3410,2717937884,2558200252
3513,2811914208,2633097064
3616,2939419568,2742538332
3720,3059542448,2835871812
