TIME,RECV,XMIT
4,0,0
107,0,0
211,1297464,85717140
314,2418796,164517300
417,4613504,317044344
520,43745420,364278076
623,79754952,400968636
726,123203796,433949676
830,177345724,506244172
933,222483988,556041124
1036,300943224,628156852
1139,397134136,691754336
1242,480516196,756564988
1345,566045224,819395496
1449,649533348,884832944
1552,743344556,953327568
1655,830293076,1016982900
1758,914953376,1086181672
1861,998998860,1157348860
1964,1086977604,1233989108
2068,1179183868,1296191636
2171,1260323376,1349524624
2274,1345141180,1412429628
2377,1428657808,1490280252
2480,1517898364,1560684116
2583,1599093264,1628116692
2686,1683723760,1694828128
2789,1768124680,1760427948
2893,1859085808,1822009176
2996,1941473336,1891160360
3099,2023525296,1961357884
3202,2104325444,2030441408
3305,2186084800,2106110716
3408,2271885056,2163139860
3512,2351676964,2223658480
3615,2437088684,2287648096
3718,2521797528,2369044820
3821,2609913820,2439721900
3924,2692268640,2501682304
4027,2775171284,2568557276
4130,2866915968,2643801192
4233,2979798796,2743903824
4337,3055500136,2795481500
