TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1761452,93268812
416,2934056,175161900
519,9469136,335194492
622,43602088,388123436
726,74518460,427259788
829,121180344,472951304
932,192946232,544411264
1036,242261156,576881116
1139,291666336,591013656
1242,349343648,657846288
1346,395124976,701752452
1449,437792080,730523160
1552,486854280,777654824
1655,555095816,843662732
1759,604137396,870037952
1862,653339840,899141648
1965,714210168,957374588
2068,759999496,1004363608
2172,805191376,1027366444
2275,870103276,1094125124
2378,922563712,1152753648
2482,971464560,1164517584
2585,1020731548,1215285008
2688,1080790992,1261894076
2791,1123865848,1303148152
2895,1169280528,1340474316
2998,1243527908,1416743156
3101,1292629124,1446542092
3204,1341505432,1462800136
3308,1398689848,1521711096
3411,1446635492,1575009332
3514,1490566932,1600492756
3618,1542386292,1658372588
3721,1609211088,1723480880
3824,1657801272,1741495832
3928,1706980428,1771484616
4031,1768299712,1828302344
4134,1811953620,1880047696
4237,1856440104,1899194992
4341,1923452984,1971883264
4444,1976023840,2020327428
4547,2023753584,2038174896
4650,2072366116,2088231836
4754,2130392824,2141507512
4857,2172886956,2172580540
4960,2217888716,2208935380
5064,2291073336,2285464252
5167,2339899680,2319326116
5270,2390189172,2334946072
5373,2447605912,2398521200
5477,2496088948,2448171612
5580,2540666760,2473322316
5683,2591296688,2526682668
5787,2660371756,2592320020
5890,2709686740,2615537152
5993,2759140004,2645170468
6096,2805375204,2703536468
