TIME,RECV,XMIT
3,0,0
106,0,0
209,0,0
312,0,0
415,0,0
518,0,0
621,0,0
724,127348,9708840
827,1758692,123478200
931,2728436,191513928
1034,3151896,221461464
1137,3561280,249519360
1240,4431576,310787136
1343,5337768,374365920
1446,5818144,407940696
1549,6236952,437219256
1653,7086972,497353248
1756,7960304,558082368
1859,8442416,591752712
1962,8911880,624575976
2065,9774424,685135680
2169,10565296,740252352
2272,11099736,777975648
2375,11620724,814508688
2478,12431064,871432464
2581,37637416,914747808
2685,63927716,935399800
2788,90259872,959006084
2891,116291776,967549792
2994,146652448,1036084428
3097,182583380,1118314724
3200,223127000,1136200152
3303,264364288,1142159096
3406,304469720,1168783500
3509,343104940,1253647864
3611,384137840,1304965604
3714,426415584,1317882320
3817,468332448,1338644548
3920,509435424,1385528428
4023,549454808,1472488900
4126,590084828,1493993844
4229,630992556,1502708836
4332,670435832,1549907744
4435,711197444,1611070204
4537,752174700,1663902224
4640,793392000,1680956980
4743,833830768,1709424596
4846,873385184,1761798168
4949,912828148,1823343636
5052,952405136,1853101816
5155,982042680,1864515812
5258,1009257076,1885522176
5362,1036658584,1930800592
5465,1065134604,1951741684
5568,1098570016,2020836092
5670,1135587964,2074273872
5773,1173753904,2096370936
5876,1211532336,2114400216
5979,1248910068,2142168624
6082,1285046904,2208589572
6185,1321649640,2257642384
6288,1359088908,2278111192
6391,1396698628,2297666232
6493,1434897756,2332692864
6596,1472878620,2398124200
6699,1510833852,2440442980
6802,1550105792,2463450024
6905,1581478060,2483299460
7008,1609445668,2510015980
7111,1652078352,2630230716
7214,1698077124,2649981368
7317,1745265792,2663081984
7420,1783625352,2693727496
7523,1783673048,2693728312
7626,1783673048,2693728312
7729,1783673048,2693728312
7832,1783673048,2693728312
7934,1784412480,2695118088
8038,1802259836,2733721772
8141,1828554236,2807127456
8244,1852924140,2828912688
8347,1874736992,2842237976
8450,1884103692,2843371588
8553,1884129708,2843372032
8656,1884129708,2843372032
8759,1884129708,2843372032
8862,1884129708,2843372032
8965,1884129708,2843372032
9068,1884129708,2843372032
9171,1884129708,2843372032
9274,1884129708,2843372032
9377,1884129708,2843372032
9480,1884129708,2843372032
9582,1884129708,2843372032
9685,1884129708,2843372032
9788,1884129708,2843372032
9891,1884129708,2843372032
9994,1884129708,2843372032
10097,1884129708,2843372032
10199,1884129708,2843372032
10302,1884129708,2843372032
10405,1884129708,2843372032
10508,1884129708,2843372032
10611,1884129708,2843372032
10714,1884129708,2843372032
10817,1884129708,2843372032
10919,1884129708,2843372032
11022,1889226740,2843615368
11125,1889226740,2843615368
11229,1889226740,2843615368
11332,1889226740,2843615368
11434,1889226740,2843615368
11537,1889226740,2843615368
11640,1889226740,2843615368
11743,1889226740,2843615368
11846,1889226740,2843615368
11949,1889226740,2843615368
12051,1889226740,2843615368
12154,1889226740,2843615368
12257,1889226740,2843615368
12360,1889226740,2843615368
12463,1889226740,2843615368
12566,1889226740,2843615368
12669,1889226740,2843615368
12772,1889226740,2843615368
12875,1889226740,2843615368
12977,1889226740,2843615368
13080,1889226740,2843615368
13183,1889226740,2843615368
13286,1889226740,2843615368
13389,1889226740,2843615368
13492,1889226740,2843615368
13594,1889226740,2843615368
13697,1897109040,2849478768
13800,1931064596,3009471016
13903,1974472964,3012157572
14006,2020201772,3016954772
14109,2066148524,3033126040
14212,2107758184,3160862572
14315,2152587788,3188971268
14417,2198197440,3195316832
14520,2243042336,3213631804
14623,2286103840,3306851936
14726,2318614164,3366514364
14830,2343058524,3369823940
14933,2367973656,3373319536
15036,2400676960,3423749584
15139,2429703796,3524609968
15242,2429708132,3524610044
15345,2429708132,3524610044
15448,2429708132,3524610044
15551,2429708132,3524610044
15654,2429708132,3524610044
15756,2429708132,3524610044
15859,2429708132,3524610044
15962,2429708132,3524610044
16065,2429708132,3524610044
16168,2429708132,3524610044
16270,2429708132,3524610044
16373,2429708132,3524610044
16476,2441986020,3525615452
16579,2471287928,3627948716
16682,2472180652,3636596724
16785,2472180652,3636596724
16889,2473558036,3647755536
16992,2473939604,3648122820
17095,2474084620,3648203160
17198,2474084620,3648203160
17301,2474084620,3648203160
17403,2474084620,3648203160
17506,2474084620,3648203160
17609,2474084620,3648203160
17712,2474084620,3648203160
17815,2474084620,3648203160
17918,2474084620,3648203160
18021,2474084620,3648203160
18123,2474084620,3648203160
18226,2474084620,3648203160
18329,2474084620,3648203160
18432,2474084620,3648203160
18535,2474084620,3648203160
18638,2474084620,3648203160
18741,2474084620,3648203160
18844,2474084620,3648203160
18947,2474084620,3648203160
19050,2474084620,3648203160
19153,2474084620,3648203160
19256,2474084620,3648203160
19359,2474084620,3648203160
19461,2474084620,3648203160
19564,2474084620,3648203160
19667,2474084620,3648203160
19770,2474084620,3648203160
19873,2474084620,3648203160
19976,2474084620,3648203160
20078,2474084620,3648203160
20181,2474084620,3648203160
20284,2474084620,3648203160
20387,2474084620,3648203160
20490,2474084620,3648203160
20593,2474084620,3648203160
20695,2474084620,3648203160
20798,2474084620,3648203160
20901,2474084620,3648203160
21004,2495270612,3661650480
21107,2534914304,3672932444
21210,2540200672,3676110104
21312,2540200672,3676110104
21415,2540200672,3676110104
21518,2540200672,3676110104
21621,2540200672,3676110104
21724,2540200672,3676110104
21827,2540200672,3676110104
21929,2540200672,3676110104
22032,2540200672,3676110104
22135,2546058052,3696591904
22238,2586769224,3788145980
22341,2630556536,3809939224
22444,2674296484,3842909928
22546,2717970712,3861878388
22649,2759707304,3960845688
22752,2803062680,3986622408
22855,2847009776,4021086140
22958,2891391712,4054247676
23061,2929580768,4114933312
23164,2954591960,4151045836
23267,2979834144,4167901972
23370,3006464896,4175427256
23473,3028399500,4238431992
23576,3028403836,4238431992
23680,3028403836,4238431992
23782,3028403836,4238431992
23885,3028403836,4238431992
23988,3028403836,4238431992
24091,3028403836,4238431992
24194,3028403836,4238431992
24297,3028403836,4238431992
24399,3028403836,4238431992
24502,3028403836,4238431992
24605,3028403836,4238431992
24708,3028403836,4238431992
24811,3028403836,4238431992
24914,3028854780,4238440280
25017,3032174604,4242943520
25120,3032174604,4242943520
25223,3032174604,4242943520
25325,3032174604,4242943520
25428,3032174604,4242943520
25531,3032174604,4242943520
25634,3032174604,4242943520
25738,3032174604,4242943520
25841,3032174604,4242943520
25943,3032174604,4242943520
26046,3032174604,4242943520
26149,3032174604,4242943520
26252,3032174604,4242943520
26355,3032174604,4242943520
26458,3032174604,4242943520
26561,3032174604,4242943520
26664,3032174604,4242943520
26767,3032174604,4242943520
26870,3032174604,4242943520
26972,3032174604,4242943520
27075,3032174604,4242943520
27178,3032174604,4242943520
27281,3032174604,4242943520
27384,3032174604,4242943520
27487,3032174604,4242943520
27590,3032174604,4242943520
27693,3032174604,4242943520
27795,3032174604,4242943520
27898,3032174604,4242943520
28001,3032174604,4242943520
28104,3032174604,4242943520
28207,3032174604,4242943520
28309,3032174604,4242943520
28412,3032174604,4242943520
28515,3032174604,4242943520
28618,3052358428,4272437020
28720,3087586548,4406237004
28823,3089823368,4406535808
28926,3089823368,4406535808
29029,3089823368,4406535808
29131,3089823368,4406535808
29234,3089823368,4406535808
29337,3089823368,4406535808
29440,3089823368,4406535808
29543,3089823368,4406535808
29645,3089823368,4406535808
29748,3089871064,4406536620
29851,3089871064,4406536620
29954,3090009816,4406538988
30057,3091093816,4406557784
30160,3092433640,4406580356
30263,3096995920,4406714676
30366,3110247236,4407280244
30469,3115688916,4407372964
30572,3136974624,4551724572
30675,3162159496,4558907732
30778,3187503552,4573954344
30881,3213381088,4577453336
30984,3241226144,4578484524
31087,3267143072,4586566068
31190,3293277172,4613204292
31293,3318508076,4701401332
31395,3344002272,4734221372
31498,3368531452,4748342648
31601,3394837664,4754237280
31704,3420232968,4757358820
31807,3445803168,4767267684
31910,3470156456,4807568204
32013,3494676016,4852832312
32115,3519199192,4896310960
32218,3545044724,4919248812
32321,3570956088,4932710944
32424,3596727736,4938814044
32527,3622632160,4947568464
32630,3647770316,4986740868
32733,3673127908,5023571804
32835,3698055668,5063548420
32938,3722567124,5093811384
33041,3747271848,5109824296
33144,3772086828,5119059404
33247,3797248144,5129173800
33350,3822766592,5160548400
33452,3848102008,5201808736
33555,3873581800,5233260860
33658,3898869308,5263081172
33761,3924017772,5284882016
33864,3978509268,5313524768
33967,4033704120,5389012308
34070,4096327996,5453092868
34173,4156768544,5500372512
34276,4212516872,5548900684
34379,4269540768,5566885680
34482,4327868640,5567880904
34585,4388004624,5568907508
34687,4445179120,5569882976
34790,4501850640,5570849932
34893,4558591536,5571818816
34996,4615132976,5572783256
35099,4673556240,5573781592
35202,4738179984,5574883376
35305,4803059552,5575991008
35408,4864227504,5577034408
35511,4923409568,5578044732
35614,4981967248,5579044028
35717,5040464224,5580042508
35820,5088602496,5580856804
