TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1655,0,0
1758,0,0
1860,0,0
1964,0,0
2067,0,0
2170,7962296,106544920
2273,40629720,107095480
2376,40664408,107096072
2479,40694760,107096588
2582,40751128,107097552
2685,40785816,107098216
2789,40829176,107098884
2892,40889880,107099920
2995,40937576,107100732
3098,40950584,107100956
3201,41064976,110559888
3306,41339124,123693280
3409,41482212,123695724
3512,41642644,123698460
3615,67562520,313555716
3718,136330620,430521820
3821,183187356,461759888
3924,259068728,529676648
4027,345755680,643886892
4130,365808592,644203832
4234,367083376,644225588
4337,368319136,644246680
4440,369602592,644268584
4543,370834016,644289600
4646,371996064,644309432
4750,391407512,657342732
4853,414401648,674668564
4956,435946176,754802908
5059,462168888,810870820
5162,489696600,863017916
5266,519334008,888344040
5369,551772612,914633000
5472,583113472,962266640
5575,614978428,1000389772
5678,646916468,1033524832
5782,685456020,1063010344
5885,736611756,1090504864
5988,800819544,1114548380
6091,847067500,1161824844
6195,864881572,1189606960
6298,884739856,1219956112
6401,908048060,1237018236
6505,934882656,1291624264
6608,967374660,1352661532
6711,1003575520,1381803268
6814,1040163512,1428766428
6918,1076864260,1469679312
7021,1120483248,1503617100
7124,1181365572,1532359132
7227,1259484548,1546662696
7330,1296225172,1607898828
7433,1338848984,1738529308
7537,1350018716,1800497524
7640,1449579272,1805970752
7743,1503985348,1975995972
7846,1609928868,2043563972
7949,1648177272,2137783480
8053,1735693536,2219975180
8156,1824191208,2252480912
8259,1922381572,2315210876
