TIME,RECV,XMIT
4,0,0
107,0,0
211,1191544,81098804
314,2230104,153795644
417,5644984,315999528
520,39940252,365997728
623,71283276,385227824
727,102720896,429009168
830,134893552,432159292
933,165218224,483409764
1036,208965112,518123780
1139,258059568,552947780
1243,304297996,596730348
1346,353992648,649442448
1449,401779376,687471424
1552,452422024,720138280
1655,501878744,755552720
1759,551063416,803861136
1862,599890324,849038016
1965,647941640,878085768
2068,696604920,915042068
2171,746098640,959216076
2274,795423900,1010080092
2378,846505700,1039458944
2481,895020052,1070585148
2584,944233992,1116242568
2687,992151256,1159450732
2790,1041645580,1197871396
2893,1090100936,1240957180
2997,1139715764,1286008736
3100,1189124476,1319350200
3203,1238745020,1360851324
3306,1288615544,1401040804
3409,1336449160,1437920940
3512,1384740044,1470653136
3615,1433096256,1515731416
3719,1482400276,1562300812
3822,1531925240,1594371776
3925,1581482776,1630243372
4028,1631085204,1674580780
4131,1679246652,1713619960
4234,1726648836,1750829948
4337,1775659616,1792253108
4440,1825011676,1832250944
4544,1873042236,1880568432
4647,1923142180,1911450744
4750,1972663980,1950998968
4853,2023615136,1989441336
4956,2071014616,2032662308
5060,2119346188,2069193988
5163,2168033404,2109277296
5266,2217530448,2160457820
5369,2266998864,2192818800
5472,2316521936,2231742896
5575,2365400696,2272349620
5678,2413874588,2312444540
5782,2462066988,2344777000
5885,2510774444,2387372724
5988,2560151236,2432887932
6091,2609639424,2466655820
6194,2659238920,2504835632
6297,2709147208,2547365744
6400,2756985552,2585792052
6504,2804626408,2624728700
6607,2853676700,2664552476
6710,2915237452,2718854932
6813,2980176376,2773406744
6916,3046270772,2826143512
7019,3112154332,2866622952
7123,3177961556,2905395624
