TIME,RECV,XMIT
4,0,0
108,0,0
211,1137872,78813416
314,2157836,150716400
418,4073500,284076324
521,56840796,389328636
624,113764128,429214644
728,168854448,492526884
831,232428044,544676564
934,290285180,574564452
1038,346497912,638419212
1141,415744760,691302200
1245,480125536,737338900
1348,544624236,793040664
1452,602835892,837268668
1555,661766864,883596828
1658,725344312,940227012
1762,789400672,993917116
1866,852091624,1044727148
1970,917683016,1094957812
2073,974432816,1141221620
2176,1032249700,1182580244
2280,1098496004,1237836916
2383,1159385768,1300952492
2486,1220916492,1341220972
2589,1287135456,1394561940
2692,1343549936,1446408268
2796,1402457952,1486589668
2899,1465722256,1545825696
3002,1529669744,1591886928
3106,1591617400,1645216480
3209,1656096236,1698571288
3312,1715109884,1737358192
3416,1771346192,1790598944
3519,1837691760,1852049680
3622,1901936136,1888532392
3725,1963852084,1944132568
3829,2028143860,1994877920
3932,2086901072,2030784824
4035,2140636912,2091788632
4138,2209518968,2148006760
4241,2273820076,2188761652
4345,2338796296,2248863608
4448,2397836044,2293530636
4552,2455119676,2336172028
4655,2518638112,2393931216
4758,2582171976,2448116784
4861,2645786412,2496219404
4965,2708916240,2544296180
5068,2766404244,2593335804
5171,2824668208,2634795712
5275,2896222032,2698817836
5378,2987037376,2774788344
5482,3114690636,2866531964
