TIME,RECV,XMIT
3,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
726,0,0
829,1621176,114420960
932,4058396,286182720
1035,5996020,419712936
1138,6381412,446910720
1242,6969296,488065776
1345,7680808,538147752
1448,9881176,692533732
1551,11263964,787967068
1654,11603288,811628836
1758,12263092,858140044
1861,14043176,984116044
1964,15875648,1111217140
2067,16439972,1150799668
2170,17108268,1197571516
2274,17764600,1244069692
2377,19672588,1377556468
2480,21212544,1485261604
2583,21670228,1517333356
2686,22404744,1568666404
2790,23772960,1665872092
2893,25602020,1793807236
2996,237230880,1926371040
3100,419974548,2091742160
3204,607389024,2278000612
3307,890660204,2292511312
3410,1185817204,2297553280
3514,1481369804,2302597488
3618,1773677996,2307585088
3721,2063945008,2312547456
3824,2305998956,2316631812
