TIME,RECV,XMIT
4,0,0
107,0,0
210,1114556,76663280
314,2118768,147209840
417,3766088,261493260
521,56823712,390928476
624,137275224,476655552
727,237078236,558151660
831,311176804,620226356
934,423821276,708701056
1037,500616312,766876180
1141,608771648,849530812
1244,682660144,913951764
1347,795204448,1004408476
1451,872044292,1067996880
1554,980180852,1149921844
1657,1052020656,1218985548
1760,1164946160,1306934404
1863,1240030860,1372929836
1967,1347863556,1452852404
2070,1423330364,1524909300
2174,1537428320,1614574072
2277,1611618688,1673851484
2380,1717896208,1755342544
2483,1794039008,1823156996
2587,1905412976,1911486352
2690,1981099468,1971697172
2793,2084983064,2053155972
2897,2162030236,2124094436
3000,2269819832,2204617660
3103,2346946252,2267953832
3207,2446297444,2348353832
3310,2529679864,2424924084
3413,2632972708,2501863208
3517,2716404744,2567152012
3620,2809301272,2646031484
3723,2907725076,2736534608
3827,3023656284,2815944992
