TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
727,0,0
830,1464316,103547928
934,3875248,273268008
1037,5968492,418422768
1141,6348676,444469392
1244,6597172,462158160
1347,7441056,522010888
1451,10062724,704692368
1554,11178228,783127632
1657,11539068,808409712
1760,12130364,849560424
1863,13590340,953047536
1967,15783156,1105769544
2070,16389576,1148332056
2174,16781788,1175894736
2277,17540544,1229647392
2380,19742600,1384194976
2484,21112180,1479800976
2587,21642092,1516042968
2690,22287264,1561754880
2793,23465080,1644753524
2896,25355832,1776713376
3000,225673772,1919196884
3103,403178192,2084396864
3206,589963800,2261158504
3309,878568476,2292919296
3413,1194253124,2298306200
3516,1510367344,2303719336
3619,1825908904,2309107424
3723,2144130112,2314534660
3826,2306062368,2317255492
