TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
418,0,0
521,0,0
624,0,0
727,52144,4682832
831,2069748,146132160
934,4763584,335096160
1037,6124920,428861400
1141,6416380,449213040
1244,7059568,494186472
1347,9040220,634801752
1450,10931344,766055712
1554,11367144,795877272
1657,11967984,838218240
1760,12844604,900976008
1863,15108720,1059049824
1967,16215976,1135886496
2070,16623564,1166072952
2173,17313624,1212862176
2276,19466636,1363681512
2379,20981668,1469753304
2482,21511768,1506890160
2586,22217452,1556294472
2689,23406056,1640368248
2792,25300340,1773103512
2896,126534708,1864318828
2999,264133340,1960132348
3102,384674240,2141936712
3205,519632012,2253870320
3308,663614824,2288733116
3411,811045328,2291246008
3514,953416804,2293676612
3617,1096976344,2296126380
3720,1241139920,2298603740
3823,1384232256,2301046036
3926,1527010232,2303482336
4029,1671093344,2305941208
4132,1814547736,2308390756
4235,1957291024,2310825356
4338,2100157888,2313265952
4440,2245835564,2315748428
4543,2306039840,2316759640
