TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1801256,91567072
417,2897728,167991064
520,6832908,332502196
623,36913760,378408568
726,57453032,399461996
829,82559324,433057664
932,112266520,447105976
1036,151131696,485386184
1139,197605592,525703404
1242,235200004,568072072
1345,279153416,587583628
1449,322735752,620126028
1552,373560140,658946572
1655,416520796,711461212
1759,460003940,740431812
1862,504557056,764959348
1965,559460304,816342844
2068,603899444,866570380
2172,649386868,881209804
2275,693627488,914170532
2378,742297492,957824732
2482,785410104,1004411888
2585,829975192,1029988228
2688,874555948,1072078016
2792,931921712,1114730148
2895,974719492,1165135432
2998,1019827924,1177679544
3101,1063851508,1216374204
3205,1113213460,1253663380
3308,1156392444,1305771640
3412,1202316336,1328444664
3515,1249919200,1365926548
3618,1305192888,1411726124
3721,1348202844,1459296208
3825,1393737628,1472076028
3928,1438974508,1516547036
4031,1486552144,1554938124
4134,1530045512,1603575172
4238,1574863000,1625389560
4341,1623775264,1670402048
4444,1678269684,1714915664
4548,1723061288,1752929304
4651,1768683572,1766264456
4755,1813822084,1819532784
4858,1861192528,1849760460
4961,1904546036,1898276372
5064,1948871872,1924295780
5167,1998863868,1969335900
5271,2050998064,2012131052
5374,2094850872,2049557776
5478,2140540392,2064932324
5581,2186541760,2114743184
5684,2233011280,2147773024
5787,2276114068,2194390808
5891,2320896632,2221995004
5994,2371705140,2271208148
6097,2421215096,2319620852
6201,2466235904,2343259072
6304,2511619516,2367807432
6407,2559355388,2414362968
6510,2604753024,2454895524
6614,2648609196,2493594136
6717,2693040768,2520565324
6820,2750864756,2569371044
6923,2796680108,2622160392
7027,2841754552,2635889456
7130,2885974456,2665911812
7233,2950911792,2745113248
