TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,1544980,109169064
933,2426804,170597568
1036,2989456,209454648
1139,3476216,243559392
1243,3962172,279145440
1346,4726260,331143120
1449,5463068,382919256
1552,5980272,419378448
1656,6381412,447362496
1759,7111464,498500064
1862,7918764,555176232
1966,8448804,592243584
2069,8824276,619085160
2172,9562076,670622376
2276,10387172,727832856
2379,10878768,762571824
2482,11336452,794283024
2586,12017152,842232096
2689,20824952,896300124
2792,60750652,929714252
2896,97820164,962932608
2999,144191028,994504500
3102,207314852,1138336056
3205,296107436,1185270864
3309,373705136,1276634360
3412,457069112,1348799776
3515,536464000,1426684800
3618,613208844,1531517272
3722,696859600,1591395280
3825,774846516,1709855360
3929,858462120,1767365012
4032,939669672,1851756748
4135,984775420,1900090356
4239,1026697584,1942738712
4342,1069343864,1960294408
4445,1130096160,2119969508
4549,1206247212,2139303852
4652,1277861276,2208481612
4755,1346113076,2311465300
4859,1422699784,2331898356
4962,1488415172,2471947980
5065,1563422916,2502748152
5169,1610880892,2527504608
5272,1712341500,2691273776
5376,1781588372,2749693500
5479,1781588372,2749693500
5581,1781588372,2749693500
5684,1781588372,2749693500
5787,1781588372,2749693500
5890,1785507224,2752890464
5994,1827860140,2843123932
6097,1834288984,2877611152
6200,1879091716,2914696900
6304,1885890416,3043020628
6407,1891351520,3050547912
6510,1891351520,3050547912
6613,1891351520,3050547912
6716,1891351520,3050547912
6819,1891351520,3050547912
6922,1891351520,3050547912
7024,1891351520,3050547912
7127,1891351520,3050547912
7231,1891351520,3050547912
7334,1891351520,3050547912
7436,1891351520,3050547912
7539,1891351520,3050547912
7642,1891351520,3050547912
7745,1891351520,3050547912
7848,1891351520,3050547912
7951,1891351520,3050547912
8054,1891351520,3050547912
8157,1891351520,3050547912
8260,1891351520,3050547912
8363,1891351520,3050547912
8466,1891351520,3050547912
8569,1891351520,3050547912
8671,1891351520,3050547912
8774,1891351520,3050547912
8878,1891893520,3050557236
8981,1895422656,3050895340
9084,1895422656,3050895340
9187,1895422656,3050895340
9290,1895422656,3050895340
9393,1895422656,3050895340
9496,1895422656,3050895340
9599,1895422656,3050895340
9702,1895422656,3050895340
9805,1895422656,3050895340
9908,1895422656,3050895340
10010,1895422656,3050895340
10114,1895422656,3050895340
10216,1895422656,3050895340
10319,1895422656,3050895340
10422,1895422656,3050895340
10525,1895422656,3050895340
10628,1895422656,3050895340
10731,1895422656,3050895340
10834,1895422656,3050895340
10937,1895422656,3050895340
11040,1895422656,3050895340
11143,1895422656,3050895340
11246,1895422656,3050895340
11349,1895422656,3050895340
11452,1895422656,3050895340
11555,1896289856,3050924940
11658,1977469792,3211512324
11761,2085974132,3278752556
11865,2182457652,3406875720
11968,2285518436,3507277284
12071,2337454572,3555279828
12175,2369668692,3588471920
12278,2424850308,3678579316
12381,2431904980,3678689352
12484,2431904980,3678689352
12586,2431904980,3678689352
12690,2431904980,3678689352
12793,2431904980,3678689352
12896,2431904980,3678689352
12999,2431904980,3678689352
13101,2431904980,3678689352
13204,2431904980,3678689352
13307,2431904980,3678689352
13410,2431904980,3678689352
13513,2431904980,3678689352
13616,2472456428,3688592820
13719,2493628660,3790956812
13822,2493628660,3790956812
13925,2493628660,3790956812
14028,2493628660,3790956812
14131,2493628660,3790956812
14234,2493628660,3790956812
14337,2493628660,3790956812
14440,2493628660,3790956812
14543,2493628660,3790956812
14646,2493628660,3790956812
14749,2493628660,3790956812
14852,2493628660,3790956812
14955,2493628660,3790956812
15058,2493628660,3790956812
15161,2493628660,3790956812
15264,2493628660,3790956812
15367,2493628660,3790956812
15470,2493628660,3790956812
15573,2493628660,3790956812
15675,2493628660,3790956812
15779,2493628660,3790956812
15881,2493628660,3790956812
15984,2493628660,3790956812
16088,2493628660,3790956812
16190,2493628660,3790956812
16293,2493628660,3790956812
16396,2493628660,3790956812
16499,2493628660,3790956812
16602,2493628660,3790956812
16705,2493628660,3790956812
16808,2493628660,3790956812
16911,2493628660,3790956812
17014,2493628660,3790956812
17117,2493628660,3790956812
17220,2493628660,3790956812
17322,2493628660,3790956812
17425,2493628660,3790956812
17528,2493628660,3790956812
17631,2493628660,3790956812
17734,2493628660,3790956812
17837,2493628660,3790956812
17940,2493628660,3790956812
18043,2493628660,3790956812
18146,2523002576,3837223784
18249,2558166536,3941555724
18352,2563388024,3942617260
18455,2563388024,3942617260
18558,2563388024,3942617260
18660,2563388024,3942617260
18763,2563388024,3942617260
18866,2563388024,3942617260
18969,2563388024,3942617260
19072,2563388024,3942617260
19174,2563388024,3942617260
19277,2567710648,3942974384
19380,2609304488,3959075404
19483,2651404840,3961461744
19586,2691799408,3991942828
19689,2729669852,4115586636
19792,2771322360,4122737632
19895,2812713636,4138010484
19998,2853695304,4159511548
20101,2892981936,4237704776
20204,2933218956,4296430504
20307,2962082840,4306275436
20411,2986064316,4315427056
20514,3010121600,4318955860
20617,3035276824,4332389592
20720,3047415188,4462619744
20823,3047415188,4462619744
20926,3047415188,4462619744
21029,3047415188,4462619744
21132,3047415188,4462619744
21235,3047415188,4462619744
21338,3047415188,4462619744
21441,3047415188,4462619744
21544,3047415188,4462619744
21647,3047415188,4462619744
21750,3047415188,4462619744
21853,3047415188,4462619744
21956,3047415188,4462619744
22058,3047415188,4462619744
22162,3049420276,4467036212
22265,3054000532,4468430072
22368,3054000532,4468430072
22471,3054000532,4468430072
22574,3054000532,4468430072
22677,3054000532,4468430072
22780,3054000532,4468430072
22883,3054000532,4468430072
22986,3054000532,4468430072
23089,3054000532,4468430072
23192,3054000532,4468430072
23295,3054000532,4468430072
23399,3054000532,4468430072
23502,3054000532,4468430072
23605,3054000532,4468430072
23707,3054000532,4468430072
23810,3054000532,4468430072
23913,3054000532,4468430072
24016,3054000532,4468430072
24119,3054000532,4468430072
24222,3054000532,4468430072
24325,3054000532,4468430072
24428,3054000532,4468430072
24531,3054000532,4468430072
24634,3054000532,4468430072
24737,3054000532,4468430072
24840,3054000532,4468430072
24943,3054000532,4468430072
25046,3054000532,4468430072
25149,3054000532,4468430072
25252,3054000532,4468430072
25354,3054000532,4468430072
25457,3054000532,4468430072
25560,3054000532,4468430072
25663,3054000532,4468430072
25766,3054000532,4468430072
25869,3067281712,4469572228
25972,3097833128,4586207288
