TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2067,0,0
2170,24031712,88902036
2273,28549824,88970264
2376,28549824,88970264
2479,28549824,88970264
2582,28549824,88970264
2686,28549824,88970264
2789,28549824,88970264
2892,28549824,88970264
2995,28549824,88970264
3098,28549824,88970264
3202,28549824,88970264
3305,29058260,117911620
3408,29160660,123263872
3511,33398212,231881968
3615,76144384,384425248
3718,134793616,492317524
3822,205135368,566086116
3925,256660480,603541028
4028,264447936,603664536
4131,266039248,603692284
4234,267470128,603716112
4338,268770928,603738312
4441,270219152,603763324
4544,271446240,603783972
4648,289373548,646119596
4751,310717460,737476668
4854,333198416,749482536
4958,362708492,793068892
5061,392049892,872785340
5165,422602568,909570484
5268,454091304,926271652
5372,485678924,953777016
5475,516783332,995453032
5579,548266872,1026824680
5682,588238116,1051859328
5785,635824816,1078518920
5889,678149984,1106501056
5992,722579036,1129106740
6095,748159100,1163866252
6199,763045744,1186169676
6302,779283212,1211062384
6405,796264328,1237826752
6509,815762228,1264695376
6612,837310584,1319185652
6715,862247144,1331871156
6819,887264152,1357730460
6922,911885556,1418443656
7025,937582456,1434899300
7129,962999888,1457760028
7232,988569120,1483693592
7335,1017958452,1506480084
7439,1049449800,1538052740
7542,1087619372,1553444220
7645,1116067752,1559383632
7748,1209296088,1560980404
7851,1244414480,1618792880
7955,1285046916,1753565376
8058,1318035804,1803721892
8162,1398819644,1810557168
8265,1443724772,1971709544
8368,1537056428,2049107876
8472,1572225616,2136486716
8576,1631159544,2217475420
8679,1697662072,2231740220
8782,1779368160,2267593156
8885,1834333468,2351347024
