TIME,RECV,XMIT
4,0,0
107,186432,14209224
210,1487648,101667716
313,2726780,188386988
417,4783432,330062428
520,35512052,391955968
623,66357316,431289828
727,97893112,452460380
830,129365708,469616852
933,160210544,504545528
1036,199765288,539414828
1139,248169580,580743192
1242,296010984,621336784
1345,342770944,662658540
1449,393803580,709221068
1552,441186408,742253800
1655,489053768,787851236
1758,538741292,821313760
1861,588337424,862477704
1965,636904892,895363752
2068,684914032,944839248
2172,733872944,984799708
2275,783012668,1020576876
2378,831873152,1055737840
2482,880500968,1100105548
2585,930156292,1143589044
2688,978265208,1175087108
2791,1027168700,1219340040
2894,1075018904,1255189192
2998,1124149816,1308239520
3101,1174035080,1343993892
3204,1223354324,1379850956
3307,1273227300,1417494164
3410,1321072136,1455202220
3513,1368755664,1501276884
3617,1417741752,1540231004
3720,1466946376,1579016068
3823,1516703604,1615439532
3926,1566348064,1665675372
4030,1615025168,1698789152
4133,1664054776,1735631296
4236,1712824592,1767679336
4339,1761484560,1821373808
4442,1810368600,1862652900
4546,1859437928,1895897992
4649,1907342204,1931357612
4752,1955619188,1971921476
4855,2003597312,2012895076
4958,2051463284,2051430032
5061,2097644196,2087993836
5165,2144417912,2125693868
5268,2194102416,2180144484
5371,2242559616,2212072892
5475,2291504912,2252083892
5578,2340492424,2286572024
5681,2389140160,2323410964
5784,2436962132,2360844536
5887,2484895604,2407109616
5990,2534997680,2448143036
6094,2585952428,2484974524
6197,2635189636,2524039180
6300,2683119012,2567557600
6403,2733631496,2605410100
6506,2781406588,2638502608
6610,2829301592,2680298200
6713,2881912840,2734517548
6816,2949394336,2783988588
6919,3014550144,2844766524
7023,3104189820,2910373168
