TIME,RECV,XMIT
4,0,0
107,0,0
211,1127268,78322616
314,2160932,150671936
417,4126136,287885004
521,56860328,386088092
624,114681628,429170804
727,170206416,492543860
831,234299476,548790004
934,293188628,574532428
1037,347353156,639696708
1141,416427808,690281964
1244,479315948,737496244
1349,543804852,792706832
1452,602542812,836752212
1556,660387968,880331908
1659,723687232,939540772
1762,786813468,992176940
1866,847289492,1037091132
1969,913509076,1090490340
2072,971428136,1139359260
2175,1028755308,1177152748
2279,1094117312,1237831788
2382,1153090556,1293769588
2485,1215749208,1340073788
2588,1281652740,1391384156
2692,1338481648,1434790092
2795,1394210268,1482300148
2898,1459189500,1539825884
3001,1521627128,1591755980
3104,1581023188,1632474360
3208,1646864536,1690290516
3311,1703375724,1731093916
3414,1761287528,1779469388
3517,1826068624,1839594396
3621,1888907000,1882646852
3724,1950765716,1935976404
3827,2014394000,1988276428
3931,2072183480,2028103312
4034,2128403544,2080955200
4137,2195079172,2135329232
4241,2257234784,2176700656
4344,2319573916,2231973168
4447,2381390852,2280192408
4551,2439172704,2319477656
4654,2494625096,2377209624
4757,2563542484,2437940216
4861,2623056320,2477274208
4964,2685713236,2523826640
5067,2748519448,2581035384
5170,2805802604,2615744632
5274,2866901200,2675378616
5377,2956069620,2756710024
5482,3047471248,2824117408
