TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,1680512,118426128
933,4153816,293151592
1036,6019272,421780680
1139,6413468,449186976
1243,6984488,488982360
1346,7721296,541114704
1449,10062772,705019560
1552,11313188,791268584
1656,11642096,814035488
1759,12254348,857210504
1863,14020416,982317704
1966,15929088,1114735856
2069,16510896,1155461952
2173,17147200,1199856536
2276,17830752,1249131624
2379,19715488,1381066496
2482,21285144,1489922792
2586,21759256,1522989320
2689,22455084,1571750720
2792,23806496,1667909504
2896,25692228,1799786836
2999,248260712,1934453580
3102,434193412,2116800796
3206,614104436,2287788208
3310,913316620,2292892656
3413,1206835760,2297910404
3516,1501683760,2302944548
3619,1796139352,2307966632
3723,2090078960,2312985460
3826,2305977072,2316631812
