TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
521,0,0
624,0,0
727,0,0
830,2007188,141575304
933,4514404,316512528
1037,6203348,434582448
1140,6496296,454690824
1243,7098068,496953600
1347,8716840,608660448
1450,10930800,762199128
1553,11486752,800860728
1656,12108116,844513584
1759,12764884,891889248
1863,14849324,1037695608
1965,16349288,1141669248
2068,16748940,1169670672
2172,17425484,1217072400
2275,19148960,1338934632
2378,21024648,1469245944
2481,21648056,1513007400
2584,22361924,1562941680
2688,23206984,1622988792
2791,25074052,1753738848
2894,127045892,1871810124
2997,273488880,1970389768
3101,400881504,2157001164
3204,542466640,2268795300
3307,713114316,2289434496
3410,907465764,2292750436
3513,1101648104,2296064452
3616,1296110116,2299384388
3719,1490251260,2302696628
3821,1684085640,2306004352
3924,1873350956,2309230456
4027,2037402428,2312031284
4130,2192068636,2314668272
4233,2306014380,2316594124
