TIME,RECV,XMIT
4,0,0
106,0,0
209,1117404,76467876
313,2116284,146454060
416,3796836,264392964
519,54689972,390177676
622,129721708,455797692
726,246718460,539610596
829,331421552,622380564
932,451491072,706765076
1036,513079452,765936872
1139,621998016,862805792
1242,687363084,951659460
1346,810945644,1003904752
1449,884926236,1062235880
1552,986552408,1154618532
1656,1046894620,1235164496
1759,1162644240,1314872588
1863,1242671920,1363237556
1966,1342357040,1453246928
2069,1441358656,1536387244
2173,1525884440,1596914456
2276,1603534600,1661616640
2379,1691939960,1729716912
2483,1752814412,1810856056
2586,1866258080,1875175128
2689,1925778000,1916102836
2793,2032053616,2007504236
2896,2085583700,2048747468
3000,2199165096,2142558768
3103,2257071320,2194055336
3206,2353906388,2270518644
3310,2423711420,2330049244
3413,2497380172,2430175008
3516,2599547348,2476432172
3619,2663239628,2552139020
3723,2767404344,2599042160
3826,2833648804,2679083192
3929,2943100888,2758891632
4033,3049601012,2822181504
