TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
519,0,0
623,0,0
726,0,0
829,1692476,119467604
933,4088464,289488504
1036,5992796,419895384
1140,6433552,450568368
1243,6709392,469655904
1346,7736048,542982624
1449,10351704,724813776
1553,11292988,791174900
1656,11656496,816485208
1759,12245804,857966064
1863,13855884,971652888
1966,15835172,1109175240
2070,16510288,1156477056
2173,16923892,1185568824
2277,17860712,1251341328
2380,20020172,1403107656
2483,21188500,1484596752
2587,21741168,1523206224
2690,22299476,1563383880
2793,23742092,1663882320
2897,25616912,1795005960
3000,259605252,1939617060
3103,454362180,2114867204
3207,631594752,2288173184
3310,938500084,2293459376
3414,1256883952,2298895764
3517,1572320676,2304302388
3620,1888318600,2309692696
3724,2203543636,2315079304
3827,2306075940,2316776644
