TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,2193808,153451800
1037,4881756,343452948
1140,7015412,479015396
1243,7492372,479023536
1348,18317724,614877836
1452,73877060,796096524
1555,131327052,1006532612
1659,211705488,1201966244
1763,303456264,1386532880
1867,395640016,1571413632
1970,487941700,1763859360
2074,586310292,1942335108
2177,713881596,2061437868
2280,786974004,2186495384
2383,788577200,2298787784
2487,790202964,2412600584
2590,791832880,2526847784
2693,793478300,2642180984
2796,795001080,2748826184
2899,802532644,2822577656
3002,817875368,2973945584
3106,835247332,3152059844
3210,967607404,3331481876
3314,1098874176,3524938036
3418,1112387024,3697800948
3522,1179978028,3872824148
3626,1345067800,4043156192
3729,1434014812,4175882092
3833,1488154392,4256559664
3936,1542496440,4336568500
4039,1596831032,4350871392
4142,1652828640,4353824308
4245,1689579568,4372145584
4348,1746902272,4399902604
4451,1804380648,4428329932
4554,1862039800,4449300260
4657,1888221748,4487771276
4761,1890665972,4660154228
4864,1893235380,4706176196
4967,2040375372,4708710476
5070,2236885060,4712065636
5173,2419468352,4733957928
5277,2538443072,4904186096
5380,2654461944,5093510228
5484,2823765764,5180813092
5587,2989680432,5280855660
5691,3156289644,5377248404
5794,3321743948,5474964168
5898,3487329552,5570966552
6001,3652022688,5667711120
6105,3817543912,5764547528
6209,4025086648,5845714704
6312,4231227040,5930483344
6416,4436172884,6014377568
6520,4626333024,6092624876
6623,4810074356,6167773396
6726,4981226260,6234791636
6829,5143070816,6318606052
6933,5261179168,6371097896
7036,5379686448,6417767308
7139,5498533936,6461704940
7242,5616652132,6509213340
7346,5734213392,6565921092
7449,5902861148,6660508844
7553,6085905856,6755955032
7656,6266423584,6863020636
7760,6442601036,6923309152
7863,6589163160,6996432404
7966,6697488140,7034841736
8070,6847875024,7080358740
8174,7023218392,7184380664
8277,7149913268,7312608364
8381,7330564420,7439297984
8484,7513285700,7546054572
8588,7717823104,7600440448
8691,7879873464,7747362728
8795,8069132648,7858576388
8899,8269076148,7937886068
9002,8435164436,8063724924
9105,8556309336,8133528860
9209,8679961532,8171866220
9312,8870537620,8239097064
9416,9010814916,8385999232
9520,9133444692,8538849504
9623,9331209140,8611271940
9727,9523165604,8702725260
9831,9706526644,8814109956
9935,9880583092,8951756284
10039,10084064016,9021270128
10142,10258755852,9144971276
10245,10387441284,9255252600
10349,10467874516,9288943116
10452,10588890908,9333575332
10555,10777538608,9423313300
10659,10906616608,9574528124
10762,11034727836,9716548740
10865,11244215176,9788620820
10969,11441218816,9889729388
11072,11624358712,9998326904
11175,11809969256,10123379740
11278,12013209844,10214356684
11382,12174718684,10349028552
11485,12291965608,10434674912
11588,12365194300,10463673364
11692,12490091852,10506574212
11795,12675423984,10604102588
11898,12791325172,10756766792
12001,12938727288,10886316684
12104,13147389712,10966531140
12208,13341615232,11066352088
12311,13520505188,11189372704
12414,13716737072,11301802096
12518,13921827528,11395454008
12621,14062401956,11527338916
12724,14184020476,11607967236
12828,14257407504,11633513016
12931,14395183716,11683404952
13035,14579615948,11788633472
13138,14685332588,11945743604
13241,14840002916,12060427184
13344,15045846320,12147864652
13448,15250166940,12240483940
13551,15424772932,12364375580
13654,15617763432,12488214292
13758,15825910264,12573560784
13861,15966529848,12724941024
13964,16074662652,12786699884
14067,16152059708,12810077672
14171,16310685960,12870746656
14274,16495863356,12990113608
14377,16586146044,13144661596
14481,16768790964,13243029692
14584,16971823424,13345554992
14688,17177871508,13429177728
14791,17358166736,13574614908
14894,17556929548,13689275188
14998,17761478004,13774175800
15102,17897115840,13924863268
15205,17981935612,13967527452
15309,18081521604,13999605808
15412,18273295260,14090060676
15515,18409782020,14244462188
15619,18529261988,14372370904
15723,18733511988,14452922636
15826,18936156104,14558503748
15929,19126960340,14660832600
16033,19316981216,14799291584
16136,19524285996,14896370492
16239,19692861612,15026043696
16343,19815218864,15124036036
16446,19888342360,15150077820
16549,20025454192,15191977740
16652,20209835916,15299848700
16756,20313255656,15481136172
16859,20488033284,15577739360
16962,20691943796,15672120672
17065,20892402124,15764590032
17169,21074435556,15888245948
17272,21267868512,16016580508
17375,21476943372,16097420736
17478,21604808732,16253209836
17582,21704225980,16297160076
17685,21780991484,16324615208
17788,21946074892,16388434440
17892,22122520504,16512716968
17995,22211087936,16652411256
18098,22389307800,16752306192
18202,22588830348,16851466056
18305,22786361828,16938163128
18408,22966437384,17062307596
18511,23158153604,17191562856
18615,23363429980,17269167020
18718,23496537352,17424213720
18821,23591877180,17471252552
18925,23670980696,17501713556
19028,23853455748,17573844188
19131,24017993560,17701004104
19235,24111136092,17861542324
19339,24299509756,17932925216
19442,24497802416,18035983960
19545,24696504796,18120165892
19648,24872695276,18259591364
19751,25067344776,18374641164
19855,25265824720,18468784612
19958,25394036752,18604646924
20061,25481261256,18642190768
20165,25575816456,18676010036
20268,25768716836,18767533268
20371,25916185960,18904574608
20475,26031717052,19064069276
20578,26248949408,19138360564
20681,26451354416,19250050988
20784,26637724824,19366449440
20887,26834120464,19487941680
20991,27044364380,19581339684
21094,27219240460,19714998352
21198,27397060612,19828027548
21301,27552282392,19883934800
21404,27760254824,19991052912
21508,27957248712,20101773800
21611,28129290660,20177515812
21715,28337306396,20281792140
21818,28543584344,20397001952
21922,28709490544,20565314592
22026,28925619544,20664217884
22130,29133236604,20771975044
22233,29188457608,20794115296
22337,29503717324,20799528472
22440,29586362568,20800855068
22544,29597480072,20801045028
