TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,1075452,74868840
932,3747840,261547896
1035,6541372,456593496
1138,7668936,484137828
1241,8996540,578822916
1344,51539100,752479264
1447,90693308,940433896
1550,129813516,1115645364
1653,206615900,1300510824
1756,292937720,1463494948
1859,372495756,1631406412
1962,459495964,1792632340
2065,548228460,1944180440
2168,654844904,2035294736
2271,755293504,2144623400
2374,757087100,2270034680
2477,758809896,2390928200
2580,760585388,2515266512
2683,762370864,2640424760
2786,764009524,2755011872
2889,773201112,2857829404
2992,786245244,3028228512
3095,827300116,3218955232
3198,937064124,3372318356
3302,1047395920,3540483220
3405,1079496960,3707372212
3508,1130248944,3856699060
3611,1251669100,4011145500
3714,1376054584,4169345564
3818,1525490532,4281247504
3921,1631995316,4381811508
4024,1736710132,4415296704
4127,1873545836,4482028660
4230,1875864260,4643955676
4333,1876875088,4711435744
4436,1949014204,4712680200
4539,2073161472,4714801040
4642,2207671776,4717095336
4745,2329141568,4719171332
4848,2447950908,4737584480
4952,2531053260,4923010336
5055,2624624856,5088351844
5158,2742876500,5142774516
5261,2852466644,5204158836
5364,2962456164,5276826320
5467,3074775176,5345493624
5570,3187479156,5413834728
5673,3303417384,5479138848
5777,3414683252,5543817680
5880,3523776192,5610405404
5983,3628646444,5673596432
6086,3739022808,5737800592
6189,3828981648,5784002492
6292,3885737868,5805843384
6395,3942099452,5827598684
6498,3998735884,5849689232
6601,4054332916,5872317832
6703,4110668908,5879098720
6806,4167270060,5889758528
6909,4223379524,5919744204
7012,4279638388,5949732548
7115,4335277244,5977434420
7218,4391623444,5993010652
7321,4448320300,6008115244
7424,4504674876,6029314452
7527,4558517948,6052737924
7630,4611138580,6076388504
7733,4663173564,6096867036
7836,4715177140,6117279516
7939,4767337444,6138483148
8042,4819352572,6161115488
8145,4871283208,6183664848
8248,4923322660,6204773700
8351,4975928524,6221558776
8454,5029534756,6237950708
8557,5083198600,6256972744
8660,5135568460,6290303936
8763,5187930424,6323812784
8866,5240415484,6358318632
8969,5294178728,6387704788
9072,5349773032,6409838900
9175,5405346628,6430746916
9278,5460888324,6451520112
9381,5516382792,6472788448
9484,5571479272,6495473624
9587,5626790628,6520772576
9690,5682795868,6543313304
9793,5738568568,6570430812
9896,5792019008,6595724008
9999,5845159948,6623388048
10102,5898522532,6651498872
10205,5951887792,6680603736
10308,6005332552,6712329140
10411,6058355004,6749840116
10514,6111366384,6783660468
10618,6164793572,6811871872
10721,6218751184,6831120632
10824,6272905228,6851353212
10927,6359818904,6875108080
11030,6451874480,6900194260
11133,6539453376,6925126132
11236,6608437072,6967265352
11340,6678611776,7002304088
11443,6739365784,7023668284
11546,6826152056,7043512076
11649,6923802436,7069263128
11752,7008734360,7105729580
11856,7094229728,7147766120
11959,7181417604,7236034312
12062,7259565492,7296580472
12165,7339830692,7350834244
12268,7434494544,7427261500
12372,7532267808,7504045748
12475,7630028792,7569964116
12578,7732371140,7619605788
12681,7836308200,7655298144
12784,7941740216,7695820024
12887,8030893088,7777456908
12990,8128489252,7837572904
13094,8225775108,7912860148
13197,8343112960,7947442544
13300,8443176052,7999273796
13403,8503924904,8033985844
13506,8561131236,8067456608
13609,8632352564,8100714100
13712,8704093400,8124049516
13815,8773468712,8138965468
13918,8853414772,8164285688
14022,8920367540,8196641100
14125,8993960880,8241956060
14228,9066326372,8305820504
14331,9139452344,8396615344
14434,9214438808,8434755152
14538,9284516744,8473309720
14641,9368139596,8540574312
14744,9448669316,8618319748
14847,9533748876,8672845172
14951,9634378436,8734549756
15054,9731348660,8767432700
15157,9824068572,8793474828
15260,9931668104,8843523004
15363,10022992416,8923411652
15466,10079342832,8995348872
15570,10145520328,9046553036
15673,10228623032,9084125448
15776,10321035040,9164517932
15879,10420212644,9199060640
15982,10517756988,9239877668
16086,10615683232,9263123788
16189,10700827116,9303545024
16292,10785702604,9337325628
16395,10885288728,9386575580
16498,10986860604,9465320536
16602,11080186052,9578970780
16705,11182830216,9631363464
16808,11265259216,9684836780
16911,11333077248,9767283916
17014,11421690632,9849466912
17118,11519293236,9894525912
17221,11613577748,9925513888
17324,11712859160,9954907292
17427,11793660748,10021557024
17530,11865596504,10095118456
17633,11953975996,10142259932
17737,12025571612,10201187008
17840,12125644800,10259911024
17943,12202460820,10324902020
18046,12265067600,10351193872
18149,12332412848,10379081428
18252,12414464404,10423111704
18355,12496085748,10446742776
18459,12590407404,10479058932
18562,12669894404,10518515940
18665,12753712188,10571597048
18768,12846652404,10643866816
18871,12930973868,10709979920
18974,13020551900,10753385320
19077,13100962084,10843909084
19181,13173462400,10904212108
19284,13248875784,10966925556
19387,13343503760,11028926928
19490,13440045192,11078244196
19593,13546905532,11105297012
19696,13646671532,11156470468
19799,13723079028,11248795012
19903,13805619940,11307252104
20006,13884237216,11352903048
20109,13976638324,11393291980
20212,14071682188,11441302608
20315,14154768868,11508126288
20418,14248793524,11545953056
20521,14345233272,11602689928
20625,14433656692,11622653556
20728,14530766468,11650888616
20831,14621468872,11697535148
20934,14721733452,11772431528
21038,14814262720,11869817552
21141,14913865752,11927791216
21244,15006841908,11991916872
21347,15073815508,12067818084
21450,15153867752,12148648456
21554,15253728156,12220994148
21657,15359576104,12259761616
21760,15466004108,12286507472
21863,15556674212,12343109960
21966,15634092084,12432596424
22069,15718041720,12483270584
22172,15790296192,12535274256
22276,15890224684,12583049068
22378,15977271448,12642532656
22482,16060243208,12689464020
22585,16148962804,12725194004
22688,16237828600,12771591316
22791,16322061732,12797702444
22894,16415045988,12825295524
22997,16503013788,12871425000
23101,16600153584,12945082684
23204,16688943684,13038559684
23307,16788698912,13093892940
23410,16879840200,13151785836
23513,16947186616,13231149628
23616,17029261456,13303165908
23720,17123526356,13381646816
23823,17224693232,13429773456
23926,17332254696,13458626832
24029,17427983832,13511176592
24132,17509557088,13598976872
24235,17596883740,13652961320
24338,17675099052,13704377672
24442,17772681832,13752061264
24545,17861875704,13800997744
24648,17938589940,13857371084
24751,18028311416,13889552052
24854,18119988788,13940017940
24957,18208988440,13962909544
25060,18307484536,13994064228
25163,18394867720,14039801196
25267,18493543724,14115681384
25370,18585461004,14213219180
25473,18685457608,14267637576
25576,18780000248,14323796120
25679,18849688136,14403240128
25782,18930634012,14480497160
