TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,1178680,82931304
932,1990756,140167848
1035,2831104,198360072
1138,3262564,228867984
1241,3529412,247482024
1345,4322516,302854992
1448,5252516,368014992
1551,5632080,395182368
1654,6016788,421563480
1757,6633008,465555168
1860,7472052,523708296
1964,8016164,561700920
2067,8500756,595796976
2170,8869472,622069488
2273,9635172,675101040
2376,10420092,730122144
2480,10884968,762650016
2583,11258764,789039816
2686,11948392,837453696
2789,14730940,895115040
2893,51776868,925253328
2996,88204396,957283040
3099,123517044,963526480
3202,175540488,1083556092
3305,238674716,1168128760
3408,306068900,1198645448
3511,370384912,1288390840
3614,436858412,1350302024
3717,503878440,1409805344
3820,568636280,1494867800
3923,636402188,1538107864
4026,702651672,1604945916
4129,768284500,1688534660
4232,835186800,1742170344
4335,900160132,1824132540
4438,955997832,1881179200
4542,995207740,1901856824
4645,1033224652,1939097616
4748,1071295612,1964085784
4851,1133216224,2119665344
4954,1197599548,2135634080
5057,1252373392,2144164360
5160,1301546992,2156452008
5263,1357405416,2243251664
5366,1397989140,2267549948
5469,1436860220,2319358164
5572,1477393272,2345843508
5675,1518961928,2354243876
5778,1556894500,2435465852
5881,1596135396,2457403308
5984,1639160184,2498082920
6088,1667797568,2525908300
6191,1711548464,2584944968
6294,1755255240,2656446244
6396,1811795884,2679742672
6499,1858289980,2732194392
6602,1858289980,2732194392
6705,1858289980,2732194392
6808,1858289980,2732194392
6911,1858289980,2732194392
7014,1860406032,2734038348
7117,1883122948,2805374448
7220,1910492460,2856496708
7324,1930529880,2858413780
7427,1970652852,2896701008
7530,1987676832,3026921708
7633,1997089416,3030069996
7737,1997089416,3030069996
7839,1997089416,3030069996
7942,1997089416,3030069996
8045,1997089416,3030069996
8148,1997089416,3030069996
8251,1997089416,3030069996
8353,1997089416,3030069996
8456,1997089416,3030069996
8560,1997089416,3030069996
8662,1997089416,3030069996
8765,1997089416,3030069996
8868,1997089416,3030069996
8971,1997089416,3030069996
9074,1997089416,3030069996
9177,1997089416,3030069996
9280,1997089416,3030069996
9383,1997089416,3030069996
9486,1997089416,3030069996
9589,1997089416,3030069996
9692,1997089416,3030069996
9795,1997089416,3030069996
9898,1997089416,3030069996
10000,1997089416,3030069996
10104,1997538440,3030247184
10207,1998938500,3032364228
10310,1998994868,3032365188
10413,1998994868,3032365188
10516,1998994868,3032365188
10619,1998994868,3032365188
10722,1998994868,3032365188
10825,1998994868,3032365188
10928,1998994868,3032365188
11031,1998994868,3032365188
11134,1998994868,3032365188
11237,1998994868,3032365188
11340,1998994868,3032365188
11442,1998994868,3032365188
11545,1998994868,3032365188
11648,1998994868,3032365188
11751,1998994868,3032365188
11854,1998994868,3032365188
11957,1998994868,3032365188
12060,1998994868,3032365188
12163,1998994868,3032365188
12266,1998994868,3032365188
12369,1998994868,3032365188
12472,1998994868,3032365188
12575,1998994868,3032365188
12678,1998994868,3032365188
12780,1998994868,3032365188
12884,2046270132,3082604860
12987,2092271556,3204966852
13089,2148464268,3225820820
13192,2209588204,3252049728
13295,2255332564,3365179960
13398,2300384180,3381488024
13501,2344426464,3404623216
13604,2408293788,3451115224
13707,2454372420,3556565284
13810,2491461208,3594795388
13913,2531268016,3598406508
14017,2584690996,3764422772
14120,2585503664,3765999712
14222,2585503664,3765999712
14325,2585503664,3765999712
14428,2585503664,3765999712
14532,2585503664,3765999712
14635,2585503664,3765999712
14737,2585503664,3765999712
14840,2585503664,3765999712
14943,2585503664,3765999712
15046,2585503664,3765999712
15149,2585503664,3765999712
15252,2585503664,3765999712
15355,2601866644,3766290236
15459,2636733920,3894142364
15562,2638982544,3909569360
15665,2638982544,3909569360
15768,2639160320,3909572392
15871,2639325088,3909575204
15975,2639325088,3909575204
16078,2639325088,3909575204
16181,2639325088,3909575204
16284,2639325088,3909575204
16387,2639325088,3909575204
16490,2639325088,3909575204
16593,2639325088,3909575204
16696,2639325088,3909575204
16799,2639325088,3909575204
16902,2639325088,3909575204
17005,2639325088,3909575204
17108,2639325088,3909575204
17211,2639325088,3909575204
17314,2639325088,3909575204
17417,2639325088,3909575204
17520,2639325088,3909575204
17623,2639325088,3909575204
17725,2639325088,3909575204
17828,2639325088,3909575204
17932,2639325088,3909575204
18034,2639325088,3909575204
18137,2639325088,3909575204
18240,2639325088,3909575204
18343,2639325088,3909575204
18446,2639325088,3909575204
18549,2639325088,3909575204
18652,2639325088,3909575204
18755,2639325088,3909575204
18858,2639325088,3909575204
18960,2639325088,3909575204
19063,2639325088,3909575204
19166,2639325088,3909575204
19269,2639325088,3909575204
19372,2639325088,3909575204
19475,2639325088,3909575204
19578,2639325088,3909575204
19681,2639325088,3909575204
19784,2639325088,3909575204
19887,2645277452,3916946316
19990,2673268784,4004417560
20093,2675644640,4082501272
20196,2675644640,4082501272
20299,2675644640,4082501272
20402,2675644640,4082501272
20505,2675644640,4082501272
20608,2675644640,4082501272
20711,2675644640,4082501272
20814,2675644640,4082501272
20916,2675644640,4082501272
21019,2676169296,4082656168
21122,2725241604,4116281152
21226,2760953924,4119392392
21329,2797947368,4225527316
21432,2840218496,4263063284
21535,2882297316,4286434208
21637,2922378880,4326858148
21741,2972816296,4393272452
21844,3003388300,4439651940
21947,3031048780,4469798620
22050,3069383652,4511693688
22153,3069418340,4511694280
22257,3069418340,4511694280
22360,3069418340,4511694280
22463,3069418340,4511694280
22565,3069418340,4511694280
22668,3069418340,4511694280
22771,3069418340,4511694280
22874,3069418340,4511694280
22977,3069418340,4511694280
23080,3069418340,4511694280
23183,3069418340,4511694280
23286,3069418340,4511694280
23389,3069418340,4511694280
23492,3070321328,4519987412
23595,3071543792,4521810520
23698,3071543792,4521810520
23801,3071543792,4521810520
23904,3071543792,4521810520
24007,3071543792,4521810520
24110,3071543792,4521810520
24213,3071543792,4521810520
24316,3071543792,4521810520
24419,3071543792,4521810520
24522,3071543792,4521810520
24625,3071543792,4521810520
24729,3071543792,4521810520
24832,3071543792,4521810520
24934,3071543792,4521810520
25037,3071543792,4521810520
25140,3071543792,4521810520
25243,3071543792,4521810520
25346,3071543792,4521810520
25449,3071543792,4521810520
25552,3071543792,4521810520
25655,3071543792,4521810520
25758,3071543792,4521810520
25861,3071543792,4521810520
25964,3071543792,4521810520
