TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,26965612,91354344
2273,28595948,91376988
2376,28595948,91376988
2479,28600284,91377060
2582,28600284,91377060
2685,28600284,91377060
2789,28600284,91377060
2892,28600284,91377060
2995,28600284,91377060
3098,28600284,91377060
3201,28600284,91377060
3305,29042780,117824444
3408,29252640,127061120
3511,34364944,247492040
3614,82212140,412592608
3718,133613092,494033664
3821,202808424,576344152
3924,256365936,603786248
4027,262423328,603882668
4131,264027648,603909456
4234,265484544,603934912
4337,266807024,603957780
4440,268159856,603980572
4544,269343584,604000180
4647,287634500,641981684
4750,309023032,739676504
4854,331485844,762540700
4958,362367416,796572848
5061,392900292,877750596
5165,424674608,909340504
5268,456784528,932754972
5371,488102420,957709716
5475,518939572,997153116
5578,549988244,1030575532
5682,591408556,1053962456
5785,640977116,1080664188
5888,680495544,1109505668
5992,725611588,1130965716
6095,747808332,1165632168
6199,762903232,1188177768
6302,779225880,1213797844
6405,796450844,1238824932
6509,816149760,1275172980
6612,838122860,1321379808
6716,863079160,1332472248
6819,887899968,1366440592
6922,912655060,1422700324
7026,938095244,1437470180
7129,963489440,1459644852
7232,988756492,1483805672
7335,1018120908,1510911704
7439,1049901488,1538520680
7542,1087361184,1553503980
7645,1118095128,1558925036
7748,1210170088,1560489100
7851,1245559960,1623192848
7954,1280554032,1754843744
8058,1318076048,1802966332
8161,1400932936,1810172580
8265,1449738596,1985353740
8368,1552303756,2062155788
8471,1597727972,2159842056
8574,1645712232,2224045500
8677,1721051916,2226098624
8781,1828907552,2264826284
